1060034135	20210824	202108	2021	2021.6411											GBRGOV	UNITED KINGDOM	GBR					GOV			0	042	042	04	1	1.9	1	1	1	-4.81099656357388	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220824203000	https://kelo.com/2022/08/24/najib-loyalists-call-for-royal-pardon-as-malaysias-ex-pm-begins-jail-term/
1060034136	20210824	202108	2021	2021.6411	BUS	CHAMBER OF COMMERCE AND INDUSTRY						BUS			CHN	CHINA	CHN								1	042	042	04	1	1.9	2	1	2	0.809716599190287	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034137	20210824	202108	2021	2021.6411	BUS	CHAMBER OF COMMERCE AND INDUSTRY						BUS			CHN	CHINA	CHN								1	061	061	06	2	6.4	2	1	2	0.809716599190287	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	1	South Korea	KS	KS		37	127.5	KS	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034138	20210824	202108	2021	2021.6411	CHN	CHINA	CHN								BUS	CHAMBER OF COMMERCE AND INDUSTRY						BUS			1	043	043	04	1	2.8	2	1	2	0.809716599190287	1	China	CH	CH		35	105	CH	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034139	20210824	202108	2021	2021.6411	CHN	CHINA	CHN								KORBUS	SOUTH KOREA	KOR					BUS			1	043	043	04	1	2.8	6	1	6	0.809716599190287	1	China	CH	CH		35	105	CH	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034140	20210824	202108	2021	2021.6411	GBR	UNITED KINGDOM	GBR								GOV	PRIME MINISTER						GOV			0	042	042	04	1	1.9	1	1	1	-4.81099656357388	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220824203000	https://kelo.com/2022/08/24/najib-loyalists-call-for-royal-pardon-as-malaysias-ex-pm-begins-jail-term/
1060034141	20210824	202108	2021	2021.6411	KORBUS	SOUTH KOREA	KOR					BUS			CHN	CHINA	CHN								1	042	042	04	1	1.9	6	1	6	0.809716599190287	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034142	20210824	202108	2021	2021.6411	KORBUS	SOUTH KOREA	KOR					BUS			CHN	CHINA	CHN								1	061	061	06	2	6.4	2	1	2	0.809716599190287	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034143	20210824	202108	2021	2021.6411	KORBUS	SOUTH KOREA	KOR					BUS			CHN	CHINA	CHN								1	061	061	06	2	6.4	4	1	4	0.809716599190287	1	South Korea	KS	KS		37	127.5	KS	1	China	CH	CH		35	105	CH	1	South Korea	KS	KS		37	127.5	KS	20220824203000	https://www.hawaiipublicradio.org/asia-minute/2022-08-24/asia-minute-south-korea-marks-a-china-anniversary-with-very-different-exports
1060034144	20220725	202207	2022	2022.5616	AUS	AUSTRALIA	AUS								BGD	BANGLADESH	BGD								0	043	043	04	1	2.8	2	1	2	-4.45609436435125	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20220824203000	https://www.sbs.com.au/news/article/the-worlds-biggest-refugee-camp-is-at-breaking-point-what-is-australia-doing-to-help/z0d554j6x
