1059931964	20210824	202108	2021	2021.6411	GOV	AUTHORITIES						GOV			BGD	BANGLADESH	BGD								1	173	173	17	4	-5.0	2	1	2	-8.4985835694051	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20220824071500	https://bdnews24.com/bangladesh/ttveobu0ju
1059931965	20220725	202207	2022	2022.5616											GOV	GOVERNMENT						GOV			1	141	141	14	3	-6.5	6	1	6	-6.35593220338983	0								4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220824071500	https://www.thehindu.com/news/international/sri-lanka-bans-import-of-300-items-of-consumer-goods-to-stabilise-economy/article65804599.ece
1059931966	20220725	202207	2022	2022.5616											GOV	GOVERNMENT						GOV			1	141	141	14	3	-6.5	6	1	6	-5.51724137931034	0								1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	20220824071500	https://www.indiatvnews.com/news/world/sri-lanka-bans-import-of-300-items-of-consumer-goods-to-stabilise-economy-2022-08-24-802549
1059931967	20220725	202207	2022	2022.5616											LKAGOV	SRI LANKA	LKA					GOV			1	141	141	14	3	-6.5	4	1	4	-6.35593220338983	0								4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220824071500	https://www.thehindu.com/news/international/sri-lanka-bans-import-of-300-items-of-consumer-goods-to-stabilise-economy/article65804599.ece
1059931968	20220725	202207	2022	2022.5616											LKAGOV	SRI LANKA	LKA					GOV			1	141	141	14	3	-6.5	4	1	4	-5.51724137931034	0								1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	20220824071500	https://www.indiatvnews.com/news/world/sri-lanka-bans-import-of-300-items-of-consumer-goods-to-stabilise-economy-2022-08-24-802549
1059931969	20220817	202208	2022	2022.6219	AUSHLH	NEW SOUTH WALES	AUS					HLH													1	138	138	13	3	-7.0	10	1	10	-1.39720558882236	0								0								0								20220824071500	https://www.theguardian.com/australia-news/2022/aug/24/nurses-across-nsw-hospitals-to-strike-next-week-amid-ongoing-train-disruptions
1059931970	20220817	202208	2022	2022.6219	GOV	EXTERNAL AFFAIRS MINIST						GOV			RUS	RUSSIA	RUS								0	061	061	06	2	6.4	2	1	2	0.90909090909091	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
1059931971	20220817	202208	2022	2022.6219	GOV	EXTERNAL AFFAIRS MINIST						GOV			RUS	RUSSIA	RUS								0	061	061	06	2	6.4	2	1	2	0.90909090909091	1	Ukraine	UP	UP		49	32	UP	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
1059931972	20220817	202208	2022	2022.6219	GOV	EXTERNAL AFFAIRS MINIST						GOV			RUS	RUSSIA	RUS								0	120	120	12	3	-4.0	2	1	2	0.90909090909091	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Ukraine	UP	UP		49	32	UP	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
1059931973	20220817	202208	2022	2022.6219	GOV	EXTERNAL AFFAIRS MINIST						GOV			RUS	RUSSIA	RUS								0	120	120	12	3	-4.0	8	1	8	0.90909090909091	1	Ukraine	UP	UP		49	32	UP	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
