1059931974	20220817	202208	2022	2022.6219	NGA	NIGERIAN	NGA								BUS	SUPERTANKER						BUS			1	173	173	17	4	-5.0	2	1	2	-3.20945945945946	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	20220824071500	https://bizwatchnigeria.ng/nigeria-retreives-n86-2bn-stolen-oil-in-a-month/
1059931975	20220817	202208	2022	2022.6219	NGAMIL	NIGERIAN	NGA					MIL			BUS	SUPERTANKER						BUS			1	173	173	17	4	-5.0	5	1	5	-3.20945945945946	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	1	Benin	BN	BN		9.5	2.25	BN	20220824071500	https://bizwatchnigeria.ng/nigeria-retreives-n86-2bn-stolen-oil-in-a-month/
1059931976	20220823	202208	2022	2022.6384	COP	DEPUTY						COP													0	026	026	02	1	4.0	5	1	5	-3.08880308880309	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976194.html
1059931977	20220824	202208	2022	2022.6411											AFG	AFGHAN	AFG								1	1712	171	17	4	-9.2	5	1	5	-10.8312342569269	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	20220824071500	https://newsinfo.inquirer.net/1652494/eight-children-dead-more-missing-as-flooding-destroys-afghan-homes
1059931978	20220824	202208	2022	2022.6411											AFR	AFRICA	AFR								1	0874	087	08	2	10.0	2	1	2	5.48780487804878	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20220824071500	https://www.signatureluxurytravel.com.au/kapama-karula-lodge/
1059931979	20220824	202208	2022	2022.6411											AUSMED	AUSTRALIAN	AUS					MED			1	173	173	17	4	-5.0	42	6	42	-3.61503836239921	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20220824071500	https://apnews.com/article/sydney-australia-e12d0019347416fb0eb0478a3a354b20
1059931980	20220824	202208	2022	2022.6411											BGD	BANGLADESH	BGD								1	173	173	17	4	-5.0	4	1	4	-8.4985835694051	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20220824071500	https://bdnews24.com/bangladesh/ttveobu0ju
1059931981	20220824	202208	2022	2022.6411											BRB	BARBADOS	BRB								0	042	042	04	1	1.9	4	1	4	-5.76271186440678	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059931982	20220824	202208	2022	2022.6411											BRB	BARBADOS	BRB								0	042	042	04	1	1.9	1	1	1	-5.76271186440678	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Turkey	TU	TU		39.059012	34.911546	TU	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059931983	20220824	202208	2022	2022.6411											BUS	INDUSTRY						BUS			0	0353	035	03	1	7.0	7	1	7	2.49169435215947	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220824071500	https://bizwatchnigeria.ng/the-big-5-construct-nigeria-paves-the-way-for-industry-growth/
1059931984	20220824	202208	2022	2022.6411											BUS	INDUSTRY						BUS			0	036	036	03	1	4.0	7	1	7	2.49169435215947	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220824071500	https://bizwatchnigeria.ng/the-big-5-construct-nigeria-paves-the-way-for-industry-growth/
1059931985	20220824	202208	2022	2022.6411											BUS	BANK						BUS			0	036	036	03	1	4.0	10	1	10	0.69605568445476	0								4	Behala, West Bengal, India	IN	IN28	70294	22.4994	88.3047	-2090902	4	Behala, West Bengal, India	IN	IN28	70294	22.4994	88.3047	-2090902	20220824071500	https://zeenews.india.com/india/mamata-banerjee-takes-another-big-step-against-partha-chatterjee-tmc-decides-to-stop-2500989.html
1059931986	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	036	036	03	1	4.0	5	1	5	2.88461538461538	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220824071500	https://roanoke.com/news/state-and-regional/coronado-to-bring-181-new-jobs-to-buchanan-tazewell-counties/article_352d8227-0df0-5425-aa35-c14f89e95ca8.html
1059931987	20220824	202208	2022	2022.6411											BUS	TRADER						BUS			1	040	040	04	1	1.0	10	1	10	-4.74576271186441	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20220824071500	https://ewn.co.za/0001/01/01/ct-liquor-traders-threaten-shutdown-over-enforcement-of-regulations
1059931988	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	040	040	04	1	1.0	10	1	10	-3.44827586206897	0								4	Idiroko, Oyo, Nigeria	NI	NI32	191219	7.47583	3.92528	402030	4	Idiroko, Oyo, Nigeria	NI	NI32	191219	7.47583	3.92528	402030	20220824071500	https://allafrica.com/stories/202208240071.html
1059931989	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			0	042	042	04	1	1.9	10	1	10	-5.38922155688623	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220824071500	https://swarajyamag.com/technology/did-twitter-intentionally-cover-up-security-lapses-and-fake-accounts
1059931990	20220824	202208	2022	2022.6411											BUS	TRADER						BUS			1	046	046	04	1	7.0	10	1	10	-4.74576271186441	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20220824071500	https://ewn.co.za/0001/01/01/ct-liquor-traders-threaten-shutdown-over-enforcement-of-regulations
1059931991	20220824	202208	2022	2022.6411											BUS	EMPLOYER						BUS			0	050	050	05	1	3.5	10	1	10	-5.76271186440678	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059931992	20220824	202208	2022	2022.6411											BUS	BUSINESS						BUS			1	051	051	05	1	3.4	4	1	4	6.53846153846153	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220824071500	http://tradearabia.com/news/IT_399896.html
1059931993	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	112	112	11	3	-2.0	8	1	8	-5.38922155688623	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220824071500	https://swarajyamag.com/technology/did-twitter-intentionally-cover-up-security-lapses-and-fake-accounts
1059931994	20220824	202208	2022	2022.6411											CAN	CANADA	CAN								0	130	130	13	3	-4.4	10	1	10	-1.90641247833623	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20220824071500	https://www.albanyherald.com/features/health/why-is-vaccine-uptake-in-kids-5-11-so-low-infectious-disease-expert-offers-his/article_627e14e7-5f02-5339-bb96-ce2bcf6d4be3.html
1059931995	20220824	202208	2022	2022.6411											CHL	CHILE	CHL								1	040	040	04	1	1.0	1	1	1	-0.14992503748126	0								1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20220824071500	https://www.pressenza.com/2022/08/tomas-hirsch-a-revolutionary-constitution-for-chile-and-for-all-humanity/
1059931996	20220824	202208	2022	2022.6411											CHN	CHINESE	CHN								1	040	040	04	1	1.0	2	1	2	4.12371134020618	0								4	Wang Yang, Anhui, China	CH	CH01	12998	31.0781	118.037	10555137	4	Wang Yang, Anhui, China	CH	CH01	12998	31.0781	118.037	10555137	20220824071500	https://global.chinadaily.com.cn/a/202208/24/WS63057cf9a310fd2b29e73eac.html
1059931997	20220824	202208	2022	2022.6411											COP	DEPUTY						COP			1	040	040	04	1	1.0	3	1	3	-0.14992503748126	0								1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20220824071500	https://www.pressenza.com/2022/08/tomas-hirsch-a-revolutionary-constitution-for-chile-and-for-all-humanity/
1059931998	20220824	202208	2022	2022.6411											COP	POLICE FORCE						COP			0	043	043	04	1	2.8	6	1	6	-5.76271186440678	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059931999	20220824	202208	2022	2022.6411											COP	POLICE FORCE						COP			0	043	043	04	1	2.8	4	1	4	-5.76271186440678	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932000	20220824	202208	2022	2022.6411											COP	POLICE OFFICER						COP			0	043	043	04	1	2.8	6	1	6	-5.76271186440678	0								1	Qatar	QA	QA		25.5	51.25	QA	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932001	20220824	202208	2022	2022.6411											CVL	POPULATION						CVL			0	040	040	04	1	1.0	5	1	5	-0.51169590643275	0								4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Roma, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220824071500	https://www.miragenews.com/committee-on-elimination-of-racial-842205/
1059932002	20220824	202208	2022	2022.6411											CVL	RESIDENTS						CVL			1	051	051	05	1	3.4	10	1	10	4.55120101137801	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20220824071500	http://eastietimes.com/2022/08/24/wu-announces-city-awards-grant-toexpand-access-to-apprenticeship-programs/
1059932003	20220824	202208	2022	2022.6411											DEU	GERMAN	DEU								0	180	180	18	4	-9.0	3	1	3	-3.38441890166028	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220824071500	https://www.foxnews.com/us/un-diplomat-dodges-nyc-rape-charges-thanks-immunity-history-controversial-policy
1059932004	20220824	202208	2022	2022.6411											DEUGOV	GERMAN	DEU					GOV			0	112	112	11	3	-2.0	3	1	3	-3.38441890166028	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220824071500	https://www.foxnews.com/us/un-diplomat-dodges-nyc-rape-charges-thanks-immunity-history-controversial-policy
1059932005	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			0	036	036	03	1	4.0	2	1	2	4.81081081081081	0								3	Mount Olive Baptist Church, North Carolina, United States	US	USNC		35.3782	-80.9267	990474	3	Mount Olive Baptist Church, North Carolina, United States	US	USNC		35.3782	-80.9267	990474	20220824071500	https://www.ashepostandtimes.com/community/faith-notes/article_18827d42-1e48-11ed-af16-671021d0c81a.html
1059932006	20220824	202208	2022	2022.6411											EDU	STUDENT						EDU			1	040	040	04	1	1.0	10	1	10	-1.23456790123457	0								3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	20220824071500	https://www.10tv.com/article/news/local/its-not-going-to-feel-anything-like-a-first-day-columbus-parents-prepare-kids-for-online-learning-first-day-of-school-wednesday/530-90eff6d1-8dac-4475-966c-3f2c1bd43ce4
1059932007	20220824	202208	2022	2022.6411											EDU	STUDENT						EDU			1	043	043	04	1	2.8	20	1	10	-1.23456790123457	0								3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	20220824071500	https://www.10tv.com/article/news/local/its-not-going-to-feel-anything-like-a-first-day-columbus-parents-prepare-kids-for-online-learning-first-day-of-school-wednesday/530-90eff6d1-8dac-4475-966c-3f2c1bd43ce4
1059932008	20220824	202208	2022	2022.6411											EGY	NILE	EGY								1	130	130	13	3	-4.4	10	1	10	-2.10157618213661	0								4	Fort Portal, Kabarole, Uganda	UG	UG79	18585	0.693889	30.2664	-1727821	4	Fort Portal, Kabarole, Uganda	UG	UG79	18585	0.693889	30.2664	-1727821	20220824071500	https://venturesafrica.com/apostories/minister-expert-disagree-over-west-nile-power-crisis/
1059932009	20220824	202208	2022	2022.6411											ESPEDU	SPANISH	ESP					EDU			0	173	173	17	4	-5.0	3	1	3	-6.98113207547169	0								1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20220824071500	https://www.parentherald.com/articles/108105/20220819/florida-teacher-caught-punching-preschool-student-head-more-once.htm
1059932010	20220824	202208	2022	2022.6411											FIN	FINLAND	FIN								0	190	190	19	4	-10.0	2	1	2	0.66815144766147	0								1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20220824071500	https://sputniknews.com/20220824/finnish-party-pm-apologizes-for-inappropriate-photo-taken-at-official-residence-1099927490.html
1059932011	20220824	202208	2022	2022.6411											GBR	UNITED KINGDOM	GBR								0	035	035	03	1	7.0	2	1	2	-4.73933649289099	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220824071500	https://www.theregister.com/2022/08/24/lloyds_cybersecurity_insurance/
1059932012	20220824	202208	2022	2022.6411											GBR	BIRMINGHAM	GBR								1	051	051	05	1	3.4	10	1	10	-3.45864661654136	0								0								0								20220824071500	https://www.mirror.co.uk/news/politics/who-won-tory-leadership-hustings-27817779
1059932013	20220824	202208	2022	2022.6411											GBR	LIVERPOOL	GBR								0	173	173	17	4	-5.0	3	1	3	-5.76271186440678	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220824071500	https://www.hulldailymail.co.uk/news/uk-world-news/exploding-tyre-surgery-car-crash-7502267
1059932014	20220824	202208	2022	2022.6411											GBR	BIRMINGHAM	GBR								1	192	192	19	4	-9.5	10	1	10	-3.45864661654136	0								0								0								20220824071500	https://www.mirror.co.uk/news/politics/who-won-tory-leadership-hustings-27817779
1059932015	20220824	202208	2022	2022.6411											GOV	PRIME MINISTER						GOV			1	040	040	04	1	1.0	4	1	4	0.90909090909091	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20220824071500	https://news.webindia123.com/news/Articles/World/20220824/3976211.html
1059932016	20220824	202208	2022	2022.6411											GOV	PRESIDENT						GOV			1	043	043	04	1	2.8	3	1	3	-2.18340611353712	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220824071500	https://ewn.co.za/2022/08/24/we-don-t-favour-anybody-from-any-political-party-hawks-lebeya
1059932017	20220824	202208	2022	2022.6411											GOV	CITY MANAGER						GOV			1	043	043	04	1	2.8	3	1	3	-1.38888888888889	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20220824071500	https://www.gazettextra.com/news/local/official-freitag-has-resigned-as-janesville-city-manager/article_d92886b2-2353-11ed-bb8a-07822d4de268.html
1059932018	20220824	202208	2022	2022.6411											GOV	INTERIOR MINIST						GOV			1	100	100	10	3	-5.0	10	1	10	-0.81585081585082	0								4	Malam Jabba, North-West Frontier, Pakistan	PK	PK03	40350	34.8006	72.5713	9205741	4	Malam Jabba, North-West Frontier, Pakistan	PK	PK03	40350	34.8006	72.5713	9205741	20220824071500	https://tribune.com.pk/story/2372882/pac-summons-ex-cjp-nisar-over-dam-fund
1059932019	20220824	202208	2022	2022.6411											GOV	GOVERNMENT						GOV			0	190	190	19	4	-10.0	5	1	5	-3.7037037037037	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20220824071500	https://crisis24.garda.com/alerts/2022/07/argentina-activists-call-for-nationwide-demonstrations-july-27
1059932020	20220824	202208	2022	2022.6411											GOV	GOVERNMENT						GOV			0	190	190	19	4	-10.0	5	1	5	0.66815144766147	0								1	Finland	FI	FI		64	26	FI	1	Finland	FI	FI		64	26	FI	20220824071500	https://sputniknews.com/20220824/finnish-party-pm-apologizes-for-inappropriate-photo-taken-at-official-residence-1099927490.html
1059932021	20220824	202208	2022	2022.6411											GOVGOV	JUNTA						GOV	GOV		1	043	043	04	1	2.8	10	1	10	-3.04182509505703	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220824071500	https://www.france24.com/en/live-news/20220824-thai-court-to-rule-on-embattled-pm-s-fate
1059932022	20220824	202208	2022	2022.6411											GOVHRI	MINIST OF WOMEN						GOV	HRI		1	042	042	04	1	1.9	10	1	10	-0.64516129032258	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	20220824071500	https://www.mnnonline.org/news/tm-lebanon-holds-womens-breakfasts/
1059932023	20220824	202208	2022	2022.6411											HLH	HEALTH CARE PROVIDER						HLH			1	036	036	03	1	4.0	10	1	10	-1.90641247833623	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20220824071500	https://www.albanyherald.com/features/health/why-is-vaccine-uptake-in-kids-5-11-so-low-infectious-disease-expert-offers-his/article_627e14e7-5f02-5339-bb96-ce2bcf6d4be3.html
1059932024	20220824	202208	2022	2022.6411											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	3	1	3	-6.25	0								3	Yale New Haven Hospital, Connecticut, United States	US	USCT		41.3043	-72.9353	1933200	3	Yale New Haven Hospital, Connecticut, United States	US	USCT		41.3043	-72.9353	1933200	20220824071500	https://www.fox61.com/article/news/local/family-files-lawsuit-against-yale-new-haven-hospital-son-dies/520-2f49f900-630e-4d44-b2e8-e8a8ac194f9d
1059932025	20220824	202208	2022	2022.6411											HLH	HOSPITAL						HLH			1	190	190	19	4	-10.0	3	1	3	-6.25	0								3	Yale New Haven Hospital, Connecticut, United States	US	USCT		41.3043	-72.9353	1933200	3	Yale New Haven Hospital, Connecticut, United States	US	USCT		41.3043	-72.9353	1933200	20220824071500	https://www.fox61.com/article/news/local/family-files-lawsuit-against-yale-new-haven-hospital-son-dies/520-2f49f900-630e-4d44-b2e8-e8a8ac194f9d
1059932026	20220824	202208	2022	2022.6411											IND	BHARAT	IND								1	0841	084	08	2	7.0	6	1	6	-3.55029585798816	0								5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	20220824071500	https://organiser.org/2022/08/24/92150/bharat/kerala-cpm-leader-glorifies-moplah-riots-calls-the-hindu-genocide-a-freedom-struggle-movement/
1059932027	20220824	202208	2022	2022.6411											INDHLH	SRINAGAR	IND					HLH			0	042	042	04	1	1.9	10	1	10	-6.84596577017115	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20220824071500	https://news.webindia123.com/news/Articles/India/20220824/3976214.html
1059932028	20220824	202208	2022	2022.6411											ISR	ISRAEL	ISR								0	173	173	17	4	-5.0	3	1	3	-6.74373795761079	0								4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220824071500	https://www.timesofisrael.com/four-years-after-fleeing-to-morocco-israeli-fugitive-arrested-at-ben-gurion-airport/
1059932029	20220824	202208	2022	2022.6411											JOR	AMMAN	JOR								1	036	036	03	1	4.0	7	1	7	4.54545454545455	0								4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20220824071500	https://zeenews.india.com/railways/irctc-indian-railways-special-south-india-tour-package-introduced-to-cover-these-places-at-rs-49550-2500958.html
1059932030	20220824	202208	2022	2022.6411											JOR	JORDAN	JOR								1	043	043	04	1	2.8	1	1	1	4.54545454545455	0								4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	4	Amman, (JO11), Jordan	JO	JO11	36728	31.95	35.9333	-970362	20220824071500	https://zeenews.india.com/railways/irctc-indian-railways-special-south-india-tour-package-introduced-to-cover-these-places-at-rs-49550-2500958.html
1059932031	20220824	202208	2022	2022.6411											LAB	EMPLOYEE						LAB			1	043	043	04	1	2.8	15	3	15	-6.96235465056643	0								4	Busan, Pusan-gwangyoksi, South Korea	KS	KS10	24983	35.1028	129.04	-713900	4	Busan, Pusan-gwangyoksi, South Korea	KS	KS10	24983	35.1028	129.04	-713900	20220824071500	https://www.wfmz.com/news/past-s-korean-govts-blamed-for-abuses-deaths-at-facility/article_961843e3-8d5d-53e4-8564-16ac36f22af2.html
1059932032	20220824	202208	2022	2022.6411											LEG	LAWMAKER						LEG			1	020	020	02	1	3.0	10	1	10	-2.94117647058824	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220824071500	https://www.rfi.fr/en/france/20220824-french-government-back-from-summer-break-facing-numerous-challenges
1059932033	20220824	202208	2022	2022.6411											LEG	HOUSE SPEAKER						LEG			1	173	173	17	4	-5.0	6	1	6	-8.33333333333333	0								3	Brown University, Rhode Island, United States	US	USRI		41.8262	-71.3976	1219651	3	Brown University, Rhode Island, United States	US	USRI		41.8262	-71.3976	1219651	20220824071500	https://pmnewsnigeria.com/2022/08/24/us-house-speaker-nancy-pelosis-husband-jailed-for-drunken-driving/
1059932034	20220824	202208	2022	2022.6411											MAR	MOROCCO	MAR								1	080	080	08	2	5.0	2	1	2	-6.74373795761079	0								4	Casablanca, Grand Casablanca, Morocco	MO	MO45	147343	33.59	-7.61	-28159	4	Casablanca, Grand Casablanca, Morocco	MO	MO45	147343	33.59	-7.61	-28159	20220824071500	https://www.timesofisrael.com/four-years-after-fleeing-to-morocco-israeli-fugitive-arrested-at-ben-gurion-airport/
