1060012356	20220725	202207	2022	2022.5616											GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	5	1	5	3.37078651685393	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220824174500	https://www.ok.co.uk/royal/royal-news/harry-meghans-cheesy-vow-renewal-27819430
1060012357	20220725	202207	2022	2022.5616											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	2	1	2	3.37078651685393	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220824174500	https://www.ok.co.uk/royal/royal-news/harry-meghans-cheesy-vow-renewal-27819430
1060012358	20220817	202208	2022	2022.6219	GOV	PRINCE						GOV			MOZ	MOZAMBIQUE	MOZ								1	042	042	04	1	1.9	6	1	6	1.90174326465927	1	Botswana	BC	BC		-22	24	BC	1	Botswana	BC	BC		-22	24	BC	1	Botswana	BC	BC		-22	24	BC	20220824174500	https://www.ok.co.uk/royal/royal-news/prince-harry-africa-solo-tour-27823473
1060012359	20220817	202208	2022	2022.6219	GOV	PRINCE						GOV			MOZ	MOZAMBIQUE	MOZ								1	042	042	04	1	1.9	2	1	2	1.90174326465927	1	Mozambique	MZ	MZ		-18.25	35	MZ	1	Mozambique	MZ	MZ		-18.25	35	MZ	1	Mozambique	MZ	MZ		-18.25	35	MZ	20220824174500	https://www.ok.co.uk/royal/royal-news/prince-harry-africa-solo-tour-27823473
1060012360	20220817	202208	2022	2022.6219	GOV	PRESIDENT						GOV			MOZ	MOZAMBIQUE	MOZ								1	043	043	04	1	2.8	1	1	1	1.90174326465927	4	Akagera, Sud, Rwanda	RW	RW15	21997	-2.6257	29.5624	10482166	1	Mozambique	MZ	MZ		-18.25	35	MZ	4	Akagera, Sud, Rwanda	RW	RW15	21997	-2.6257	29.5624	10482166	20220824174500	https://www.ok.co.uk/royal/royal-news/prince-harry-africa-solo-tour-27823473
1060012361	20220817	202208	2022	2022.6219	IRN	IRAN	IRN																		1	020	020	02	1	3.0	1	1	1	-2.69886363636364	1	Spain	SP	SP		40	-4	SP	0								1	United Kingdom	UK	UK		54	-4	UK	20220824174500	https://www.ibtimes.com/us-responds-iran-nuclear-deal-momentum-builds-3605404
1060012362	20220817	202208	2022	2022.6219	MOZ	MOZAMBIQUE	MOZ								GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	1	1	1	1.90174326465927	1	Mozambique	MZ	MZ		-18.25	35	MZ	4	Akagera, Sud, Rwanda	RW	RW15	21997	-2.6257	29.5624	10482166	4	Akagera, Sud, Rwanda	RW	RW15	21997	-2.6257	29.5624	10482166	20220824174500	https://www.ok.co.uk/royal/royal-news/prince-harry-africa-solo-tour-27823473
1060012363	20220817	202208	2022	2022.6219	MOZ	MOZAMBIQUE	MOZ								GOV	PRINCE						GOV			1	043	043	04	1	2.8	8	1	8	1.90174326465927	1	Mozambique	MZ	MZ		-18.25	35	MZ	1	Mozambique	MZ	MZ		-18.25	35	MZ	1	Mozambique	MZ	MZ		-18.25	35	MZ	20220824174500	https://www.ok.co.uk/royal/royal-news/prince-harry-africa-solo-tour-27823473
1060012364	20220823	202208	2022	2022.6384											EDU	COLLEGE						EDU			0	040	040	04	1	1.0	4	1	4	-2.95885344429033	0								3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	20220824174500	https://www.democracynow.org/2022/8/24/remembering_howard_zinn_on_100th_birthday
1060012365	20220823	202208	2022	2022.6384											EDU	COLLEGE						EDU			0	040	040	04	1	1.0	6	1	6	-2.95885344429033	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	2	Washington, United States	US	USWA		47.3917	-121.571	WA	20220824174500	https://www.democracynow.org/2022/8/24/remembering_howard_zinn_on_100th_birthday
1060012366	20220823	202208	2022	2022.6384											OPP	PRISONER						OPP			0	040	040	04	1	1.0	2	1	2	-2.95885344429033	0								3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	20220824174500	https://www.democracynow.org/2022/8/24/remembering_howard_zinn_on_100th_birthday
