1059952987	20210824	202108	2021	2021.6411											GOV	CHANCELLOR						GOV			0	0841	084	08	2	7.0	4	1	4	6.9105691056911	0								1	Germany	GM	GM		51.5	10.5	GM	1	Cote D'ivoire	IV	IV		8	-5	IV	20220824101500	https://www.deccanherald.com/international/world-news-politics/angela-merkel-wins-unesco-peace-prize-for-efforts-to-welcome-refugees-1138781.html
1059952988	20210824	202108	2021	2021.6411	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	1	1	1	-3.4733893557423	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
1059952989	20210824	202108	2021	2021.6411	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	1	1	1	-3.4733893557423	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
1059952990	20210824	202108	2021	2021.6411	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	3	1	3	-3.4733893557423	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
1059952991	20210824	202108	2021	2021.6411	GOV	KING						GOV													1	070	070	07	2	7.0	4	1	4	-0.89285714285714	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20220824101500	https://jewishinsider.com/2022/08/tree-of-life-pittsburgh-antisemitism-museum-brownstein/
1059952992	20210824	202108	2021	2021.6411	IGOUNO	UNITED NATIONS		UNO				IGO			ISRGOV	ISRAELI	ISR					GOV			1	111	111	11	3	-2.0	10	1	10	-4.68468468468469	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20220824101500	https://www.middleeastmonitor.com/20220824-palestinian-christians-terrorised-by-israeli-forces-in-church-raid/
1059952993	20210824	202108	2021	2021.6411	PHLHLH	FILIPINO	PHL					HLH			PHL	MANILA	PHL								1	110	110	11	3	-2.0	10	1	10	2.55851932498639	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20220824101500	https://newsinfo.inquirer.net/1652623/p296-3-b-health-budget-for-2023-higher-but-still-not-enough
1059952994	20220817	202208	2022	2022.6219	CZE	PRAGUE	CZE								CVL	TOURIST						CVL			0	036	036	03	1	4.0	1	1	1	-3.4733893557423	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
1059952995	20220817	202208	2022	2022.6219	CZE	PRAGUE	CZE								CVL	TOURIST						CVL			0	036	036	03	1	4.0	6	1	6	-3.4733893557423	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
1059952996	20220817	202208	2022	2022.6219	CZE	PRAGUE	CZE								CVL	TOURIST						CVL			0	036	036	03	1	4.0	1	1	1	-3.4733893557423	4	Prague, Praha, Hlavníesto, Czech Republic	EZ	EZ52	14865	50.0833	14.4667	-553173	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220824101500	https://www.novinite.com/articles/216419/Day+182:+Ukraine+Marks+31+Years+of+Independence+on+the+6th+Month+Since+the+Russian+Invasion
