1059964163	20210824	202108	2021	2021.6411	LUX	LUXEMBURGER	LUX																		1	192	192	19	4	-9.5	10	1	10	-1.43540669856459	4	Safra, Mohafazat Baalbek-Hermel, Lebanon	LE	LE11	18791	34.1483	36.1653	-809954	0								4	Safra, Mohafazat Baalbek-Hermel, Lebanon	LE	LE11	18791	34.1483	36.1653	-809954	20220824114500	http://today.rtl.lu/news/luxembourg/a/1956820.html
1059964164	20210824	202108	2021	2021.6411	TUR	TURKISH	TUR																		1	016	016	01	1	-2.0	4	1	4	-7.43494423791822	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	0								4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	20220824114500	https://english.alaraby.co.uk/news/israel-returns-body-palestinian-killed-army-2021
1059964165	20210824	202108	2021	2021.6411	TURMED	TURKISH	TUR					MED			TUR	TURKISH	TUR								1	016	016	01	1	-2.0	6	1	6	-7.43494423791822	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	20220824114500	https://english.alaraby.co.uk/news/israel-returns-body-palestinian-killed-army-2021
1059964166	20220725	202207	2022	2022.5616	BUS	COMPANIES						BUS			IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO			0	020	020	02	1	3.0	10	1	10	-1.47058823529411	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220824114500	https://www.theregister.com/2022/08/24/thames_water_datacenter_water/
1059964167	20220725	202207	2022	2022.5616	GBR	UNITED KINGDOM	GBR								scoGOV	SCOTTISH			sco			GOV			1	013	013	01	1	0.4	4	1	4	2.00573065902579	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824114500	https://www.dailyrecord.co.uk/news/scottish-news/falkirk-growth-deal-agreement-switch-27819171
1059964168	20220725	202207	2022	2022.5616	GBR	UNITED KINGDOM	GBR								scoGOV	SCOTTISH			sco			GOV			1	040	040	04	1	1.0	4	1	4	2.00573065902579	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824114500	https://www.dailyrecord.co.uk/news/scottish-news/falkirk-growth-deal-agreement-switch-27819171
1059964169	20220725	202207	2022	2022.5616	scoGOV	SCOTTISH			sco			GOV			GBR	UNITED KINGDOM	GBR								1	040	040	04	1	1.0	4	1	4	2.00573065902579	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824114500	https://www.dailyrecord.co.uk/news/scottish-news/falkirk-growth-deal-agreement-switch-27819171
1059964170	20220817	202208	2022	2022.6219	MED	WRITER						MED													1	051	051	05	1	3.4	3	1	3	0.43415340086831	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20220824114500	https://www.djournal.com/opinion/columnists/remembering-willie-morris-barry-hannah-and-other-friends-at-the-mississippi-book-festival/article_4b1c47a1-e667-54d8-a7b8-fd080e04a095.html
1059964171	20220817	202208	2022	2022.6219	MED	WRITER						MED			USA	UNITED STATES	USA								1	051	051	05	1	3.4	3	1	3	0.43415340086831	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20220824114500	https://www.djournal.com/opinion/columnists/remembering-willie-morris-barry-hannah-and-other-friends-at-the-mississippi-book-festival/article_4b1c47a1-e667-54d8-a7b8-fd080e04a095.html
1059964172	20220823	202208	2022	2022.6384	RUSGOV	RUSSIA	RUS					GOV			SYR	SYRIA	SYR								1	111	111	11	3	-2.0	1	1	1	0.42553191489362	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220824114500	https://www.middleeastmonitor.com/20220824-russia-condemns-israel-missile-strikes-on-syria/
