1059884753	20210823	202108	2021	2021.6384	USA	UNITED STATES	USA																		0	043	043	04	1	2.8	2	1	2	-5.36429143314652	3	Staten Island, New York, United States	US	USNY	NY085	40.5834	-74.1496	1802959	0								3	Staten Island, New York, United States	US	USNY		40.5834	-74.1496	1802959	20220823233000	http://www.mcall.com/news/mc-nws-spotted-lanternfly-sympathizers-20220823-upsoioqring7xjqku4ljbkfeem-story.html
1059884754	20220816	202208	2022	2022.6192	DNK	COPENHAGEN	DNK																		1	090	090	09	2	-2.0	3	1	3	-4.02298850574713	4	Roger Stone, Newport, United Kingdom	UK	UKY6	40181	51.5931	-3.05306	-2606430	0								4	Roger Stone, Newport, United Kingdom	UK	UKY6	40181	51.5931	-3.05306	-2606430	20220823233000	https://talkingpointsmemo.com/news/jan-6-committee-investigators-copenhagen-documentary-roger-stone
1059884755	20220816	202208	2022	2022.6192	DNK	DENMARK	DNK								GBR	UNITED KINGDOM	GBR								1	090	090	09	2	-2.0	2	1	2	-4.02298850574713	4	Roger Stone, Newport, United Kingdom	UK	UKY6	40181	51.5931	-3.05306	-2606430	4	Roger Stone, Newport, United Kingdom	UK	UKY6	40181	51.5931	-3.05306	-2606430	4	Roger Stone, Newport, United Kingdom	UK	UKY6	40181	51.5931	-3.05306	-2606430	20220823233000	https://talkingpointsmemo.com/news/jan-6-committee-investigators-copenhagen-documentary-roger-stone
1059884756	20220822	202208	2022	2022.6356	GOV	MINIST						GOV			LEG	NATIONAL ASSEMBLY						LEG			0	010	010	01	1	0.0	8	1	8	-1.60213618157543	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	20220823233000	http://www.newsdzezimbabwe.co.uk/2022/08/poll-fees-in-zim-highest-in-africa.html
1059884757	20220822	202208	2022	2022.6356	JUD	FEDERAL COURT						JUD													0	110	110	11	3	-2.0	6	1	6	-3.33716915995397	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220823233000	https://www.malaymail.com/news/malaysia/2022/08/24/life-in-prison-for-najib-what-it-means-and-can-he-seek-release-lawyers-explain/24398
1059884758	20220822	202208	2022	2022.6356	JUD	LAWYER						JUD			MWI	MALAWI	MWI								0	139	139	13	3	-7.0	4	1	4	-1.60213618157543	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	20220823233000	http://www.newsdzezimbabwe.co.uk/2022/08/poll-fees-in-zim-highest-in-africa.html
1059884759	20220822	202208	2022	2022.6356	JUD	FEDERAL COURT						JUD			MYS	MALAYSIA	MYS								0	110	110	11	3	-2.0	4	1	4	-3.33716915995397	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220823233000	https://www.malaymail.com/news/malaysia/2022/08/24/life-in-prison-for-najib-what-it-means-and-can-he-seek-release-lawyers-explain/24398
1059884760	20220822	202208	2022	2022.6356	MWIGOV	MALAWI	MWI					GOV			GOV	MINIST						GOV			0	010	010	01	1	0.0	2	1	2	-1.60213618157543	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	4	Gwede, Malawi (general), Malawi	MI	MI00	19310	-13.6471	33.7453	-1481002	20220823233000	http://www.newsdzezimbabwe.co.uk/2022/08/poll-fees-in-zim-highest-in-africa.html
1059884761	20220822	202208	2022	2022.6356	MYS	KUALA LUMPUR	MYS								GOV	GOVERNMENT						GOV			1	173	173	17	4	-5.0	10	1	10	-3.33716915995397	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220823233000	https://www.malaymail.com/news/malaysia/2022/08/24/life-in-prison-for-najib-what-it-means-and-can-he-seek-release-lawyers-explain/24398
1059884762	20220823	202208	2022	2022.6384											BUS	BUSINESS						BUS			1	040	040	04	1	1.0	3	1	3	-1.19760479041916	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	United Kingdom	UK	UK		54	-4	UK	20220823233000	https://wdrv.com/john-lennons-angry-letter-to-paul-mccartney-up-for-bid-in-online-auction/
