1059980330	20210824	202108	2021	2021.6411	BUS	MANUFACTURER						BUS													1	073	073	07	2	7.4	10	1	10	4.11255411255411	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824134500	https://www.uschamber.com/international/an-opportunity-to-innovate-in-india
1059980331	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		0	172	172	17	4	-5.0	4	1	4	-6.34517766497462	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	0								2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	20220824134500	https://www.necn.com/tag/whitey-bulger/
1059980332	20210824	202108	2021	2021.6411	USACOP	CLEVELAND	USA					COP			MNCUSA	URBAN OUTFITTERS	USA					MNC			1	173	173	17	4	-5.0	10	1	10	-4.65116279069768	0								0								0								20220824134500	https://www.bbc.co.uk/news/uk-england-tees-62658827
1059980333	20220725	202207	2022	2022.5616	GHA	ACCRA	GHA								USA	NEW YORK	USA								1	043	043	04	1	2.8	3	1	3	0	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220824134500	https://www.ghanaiantimes.com.gh/customer-care-safety-our-priority-delta-air-lines/
1059980334	20220725	202207	2022	2022.5616	IRL	IRELAND	IRL																		1	020	020	02	1	3.0	6	1	6	1.88679245283019	4	Punchestown, Kildare, Ireland	EI	EI12	18309	53.1867	-6.63611	407729	0								4	Punchestown, Kildare, Ireland	EI	EI12	18309	53.1867	-6.63611	407729	20220824134500	https://www.leinsterleader.ie/news/home/893646/kildare-15-appeals-lodged-with-an-bord-pleanala-against-solar-farm-near-naas.html
1059980335	20220725	202207	2022	2022.5616	IRL	IRELAND	IRL																		1	080	080	08	2	5.0	6	1	6	1.88679245283019	4	Punchestown, Kildare, Ireland	EI	EI12	18309	53.1867	-6.63611	407729	0								4	Punchestown, Kildare, Ireland	EI	EI12	18309	53.1867	-6.63611	407729	20220824134500	https://www.leinsterleader.ie/news/home/893646/kildare-15-appeals-lodged-with-an-bord-pleanala-against-solar-farm-near-naas.html
1059980336	20220725	202207	2022	2022.5616	USA	NEW YORK	USA								GHA	ACCRA	GHA								1	042	042	04	1	1.9	3	1	3	0	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220824134500	https://www.ghanaiantimes.com.gh/customer-care-safety-our-priority-delta-air-lines/
1059980337	20220725	202207	2022	2022.5616	USA	NEW YORK	USA								GHA	ACCRA	GHA								1	130	130	13	3	-4.4	3	1	3	0	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220824134500	https://www.ghanaiantimes.com.gh/customer-care-safety-our-priority-delta-air-lines/
1059980338	20220817	202208	2022	2022.6219	FRA	LORRAINE	FRA								GBR	UNITED KINGDOM	GBR								1	046	046	04	1	7.0	4	1	4	0.23364485981308	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824134500	https://www.gazettelive.co.uk/whats-on/whats-on-news/dame-deborah-james-posthumously-published-24841326
1059980339	20220817	202208	2022	2022.6219	FRA	LORRAINE	FRA								MED	PUBLICATION						MED			1	046	046	04	1	7.0	6	1	6	0.23364485981308	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824134500	https://www.gazettelive.co.uk/whats-on/whats-on-news/dame-deborah-james-posthumously-published-24841326
