1059966125	20210824	202108	2021	2021.6411											MYS	SABAH	MYS								1	046	046	04	1	7.0	10	1	10	3.8961038961039	0								4	Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	4	Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	20220824120000	https://www.thestar.com.my/news/nation/2022/08/24/former-putatan-mp-quits-sabah-star-after-eight-months
1059966126	20210824	202108	2021	2021.6411	GOV	PRINCE						GOV			MED	PUBLISHER						MED			1	084	084	08	2	7.0	3	1	3	1.16429495472186	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220824120000	https://www.newsweek.com/prince-harry-memoir-trust-royal-family-jennie-bond-1736394
1059966127	20210824	202108	2021	2021.6411	GOV	PRINCE						GOV			MED	PUBLISHER						MED			1	084	084	08	2	7.0	5	1	5	1.16429495472186	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824120000	https://www.newsweek.com/prince-harry-memoir-trust-royal-family-jennie-bond-1736394
1059966128	20210824	202108	2021	2021.6411	MYS	SABAH	MYS																		1	046	046	04	1	7.0	10	1	10	3.8961038961039	4	Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	0								4	Kinabalu, Sabah, Malaysia	MY	MY16	37409	5.9749	116.072	-2404760	20220824120000	https://www.thestar.com.my/news/nation/2022/08/24/former-putatan-mp-quits-sabah-star-after-eight-months
1059966129	20210824	202108	2021	2021.6411	RUS	RUSSIAN	RUS								IGOEUREEC	THE EU	EUR	EEC				IGO			1	020	020	02	1	3.0	10	1	10	-1.01419878296146	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824120000	https://www.hellenicshippingnews.com/turkeys-additional-gas-transit-potential-back-in-the-spotlight/
1059966130	20210824	202108	2021	2021.6411	RUS	RUSSIAN	RUS								IGOEUREEC	THE EU	EUR	EEC				IGO			1	071	071	07	2	7.4	4	1	4	-1.01419878296146	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20220824120000	https://www.hellenicshippingnews.com/turkeys-additional-gas-transit-potential-back-in-the-spotlight/
1059966131	20210824	202108	2021	2021.6411	RUS	RUSSIAN	RUS								IGOEUREEC	THE EU	EUR	EEC				IGO			1	071	071	07	2	7.4	6	1	6	-1.01419878296146	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220824120000	https://www.hellenicshippingnews.com/turkeys-additional-gas-transit-potential-back-in-the-spotlight/
1059966132	20210824	202108	2021	2021.6411	SGP	SINGAPORE	SGP																		1	190	190	19	4	-10.0	4	1	4	-6.46492434662999	4	Tanjong Pagar, Singapore (general), Singapore	SN	SN00	18585	1.28333	103.833	-73774	0								4	Tanjong Pagar, Singapore (general), Singapore	SN	SN00	18585	1.28333	103.833	-73774	20220824120000	https://tnp.straitstimes.com/news/singapore/tanjong-pagar-crash-state-coroner-finds-5-mens-deaths-be-traffic-related-misadventure
1059966133	20210824	202108	2021	2021.6411	SGP	SINGAPORE	SGP																		1	190	190	19	4	-10.0	2	1	2	-6.46492434662999	1	China	CH	CH		35	105	CH	0								4	Tanjong Pagar, Singapore (general), Singapore	SN	SN00	18585	1.28333	103.833	-73774	20220824120000	https://tnp.straitstimes.com/news/singapore/tanjong-pagar-crash-state-coroner-finds-5-mens-deaths-be-traffic-related-misadventure
1059966134	20210824	202108	2021	2021.6411	SGP	SINGAPORE	SGP																		1	190	190	19	4	-10.0	2	1	2	-6.46492434662999	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20220824120000	https://tnp.straitstimes.com/news/singapore/tanjong-pagar-crash-state-coroner-finds-5-mens-deaths-be-traffic-related-misadventure
