1060042612	20210824	202108	2021	2021.6411											BUS	COMPANY						BUS			1	112	112	11	3	-2.0	6	1	6	-5.64102564102564	0								3	Greenwich Village, New York, United States	US	USNY		40.7284	-74.0029	951781	3	Greenwich Village, New York, United States	US	USNY		40.7284	-74.0029	951781	20220824214500	https://www.nytimes.com/2022/08/24/dining/mario-batali-sexual-misconduct-lawsuits-settles.html
1060042613	20210824	202108	2021	2021.6411	USAGOV	UTAH	USA					GOV			GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	2	1	2	-5.47263681592039	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220824214500	https://www.fox13now.com/news/local-news/utah-sues-the-feds-over-bears-ears-grand-staircase-escalante-national-monument-boundaries
1060042614	20210824	202108	2021	2021.6411	USAGOV	UNITED STATES	USA					GOV			GOV	PRESIDENT						GOV			1	013	013	01	1	0.4	8	1	8	-5.47263681592039	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220824214500	https://www.fox13now.com/news/local-news/utah-sues-the-feds-over-bears-ears-grand-staircase-escalante-national-monument-boundaries
1060042615	20220725	202207	2022	2022.5616	NLD	DUTCH	NLD								TUR	TURKEY	TUR								1	042	042	04	1	1.9	2	1	2	1.08695652173913	1	Netherlands	NL	NL		52.5	5.75	NL	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20220824214500	https://www.bignewsnetwork.com/news/272665243/14-million-bulgarians-visited-turkey-in-january-july
1060042616	20220725	202207	2022	2022.5616	NLDCVL	DUTCH	NLD					CVL			TUR	TURKEY	TUR								1	042	042	04	1	1.9	6	1	6	1.08695652173913	1	Netherlands	NL	NL		52.5	5.75	NL	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	1	Netherlands	NL	NL		52.5	5.75	NL	20220824214500	https://www.bignewsnetwork.com/news/272665243/14-million-bulgarians-visited-turkey-in-january-july
1060042617	20220817	202208	2022	2022.6219											USA	UNITED STATES	USA								1	042	042	04	1	1.9	8	1	8	3.97727272727273	0								3	Hancock County, Indiana, United States	US	USIN		39.785	-85.7694	450357	3	Hancock County, Indiana, United States	US	USIN		39.785	-85.7694	450357	20220824214500	https://www.greenfieldreporter.com/2022/08/24/coming-up-31/
1060042618	20220817	202208	2022	2022.6219	MNCUSAMED	GOOGLE	USA					MNC	MED		UKR	UKRAINIAN	UKR								1	020	020	02	1	3.0	4	1	4	-5.67164179104478	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	20220824214500	https://www.khaleejtimes.com/tech/google-to-roll-out-anti-disinformation-campaign-about-ukrainian-refugees
1060042619	20220817	202208	2022	2022.6219	MNCUSAMED	GOOGLE	USA					MNC	MED		UKRREF	UKRAINIAN	UKR					REF			1	020	020	02	1	3.0	6	1	6	-5.67164179104478	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	20220824214500	https://www.khaleejtimes.com/tech/google-to-roll-out-anti-disinformation-campaign-about-ukrainian-refugees
1060042620	20220817	202208	2022	2022.6219	SWE	STOCKHOLM	SWE								POL	POLAND	POL								1	020	020	02	1	3.0	30	3	30	-8.38709677419354	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	4	Bristol, Bristol, City of, United Kingdom	UK	UKB7	40094	51.45	-2.58333	-2590919	20220824214500	https://www.smh.com.au/world/europe/google-to-inoculate-europeans-by-pre-bunking-ukrainian-refugee-disinformation-20220825-p5bckw.html
1060042621	20220817	202208	2022	2022.6219	USA	UNITED STATES	USA																		1	043	043	04	1	2.8	8	1	8	3.97727272727273	3	Hancock County, Indiana, United States	US	USIN	IN059	39.785	-85.7694	450357	0								3	Hancock County, Indiana, United States	US	USIN		39.785	-85.7694	450357	20220824214500	https://www.greenfieldreporter.com/2022/08/24/coming-up-31/
1060042622	20220823	202208	2022	2022.6384	LEG	PARLIAMENT						LEG			NZLGOV	TREVOR MALLARD	NZL					GOV			1	080	080	08	2	5.0	5	1	5	-2.22222222222222	0								0								0								20220824214500	https://www.rnz.co.nz/news/political/473461/new-speaker-adrian-rurawhe-stresses-he-will-be-fair-when-presiding
1060042623	20220824	202208	2022	2022.6411											BUS	AIRLINE						BUS			0	036	036	03	1	4.0	10	2	10	2.12873170632535	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20220824214500	https://markets.financialcontent.com/stocks/article/bizwire-2022-8-24-ameriflight-increases-pilot-pay-to-support-growing-operation-and-remain-employer-of-choice
1060042624	20220824	202208	2022	2022.6411											BUS	BUSINESS						BUS			0	040	040	04	1	1.0	10	1	10	1.81086519114689	0								4	Haliburton County, Ontario, Canada	CA	CA08	12654	45.0833	-78.5	-565804	4	Haliburton County, Ontario, Canada	CA	CA08	12654	45.0833	-78.5	-565804	20220824214500	https://haliburtonecho.ca/he-receive-short-term-rental-accommodation-review/
1060042625	20220824	202208	2022	2022.6411											BUS	CONGLOMERATE						BUS			1	045	045	04	1	5.0	4	1	4	5.96252129471891	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220824214500	https://www.cinemablend.com/television/nina-dobrevs-reel-of-sarah-hyland-and-wells-adams-wedding-shows-her-shaun-white-and-other-celeb-friends-having-a-blast
