1059998361	20210824	202108	2021	2021.6411	BUS	EMPLOYER						BUS			COLGOV	COLOMBIA	COL					GOV			1	046	046	04	1	7.0	10	1	10	1.51975683890577	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220824160000	https://www.telesurenglish.net/news/Colombian-President-To-Present-Labor-Reform-in-2023-20220824-0001.html
1059998362	20210824	202108	2021	2021.6411	COLGOV	COLOMBIA	COL					GOV			BUS	EMPLOYER						BUS			1	046	046	04	1	7.0	10	1	10	1.51975683890577	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220824160000	https://www.telesurenglish.net/news/Colombian-President-To-Present-Labor-Reform-in-2023-20220824-0001.html
1059998363	20210824	202108	2021	2021.6411	COLGOV	COLOMBIA	COL					GOV			COL	COLOMBIA	COL								1	083	083	08	2	5.0	10	1	10	1.51975683890577	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220824160000	https://www.telesurenglish.net/news/Colombian-President-To-Present-Labor-Reform-in-2023-20220824-0001.html
1059998364	20210824	202108	2021	2021.6411	COLGOV	COLOMBIA	COL					GOV			LAB	WORKER						LAB			1	046	046	04	1	7.0	10	1	10	1.51975683890577	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220824160000	https://www.telesurenglish.net/news/Colombian-President-To-Present-Labor-Reform-in-2023-20220824-0001.html
1059998365	20210824	202108	2021	2021.6411	FRA	FRANCE	FRA								GBR	UNITED KINGDOM	GBR								0	010	010	01	1	0.0	4	1	4	-2.67314702308627	1	France	FR	FR		46	2	FR	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824160000	https://kesq.com/news/2022/08/24/uk-energy-crisis-is-bigger-than-the-pandemic/
1059998366	20210824	202108	2021	2021.6411	FRA	FRANCE	FRA								GBR	UNITED KINGDOM	GBR								0	013	013	01	1	0.4	1	1	1	-2.67314702308627	1	France	FR	FR		46	2	FR	1	United Kingdom	UK	UK		54	-4	UK	1	France	FR	FR		46	2	FR	20220824160000	https://kesq.com/news/2022/08/24/uk-energy-crisis-is-bigger-than-the-pandemic/
1059998367	20210824	202108	2021	2021.6411	LAB	WORKER						LAB			COLGOV	COLOMBIA	COL					GOV			1	046	046	04	1	7.0	10	1	10	1.51975683890577	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220824160000	https://www.telesurenglish.net/news/Colombian-President-To-Present-Labor-Reform-in-2023-20220824-0001.html
1059998368	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								EDU	STUDENT						EDU			0	056	056	05	1	7.0	2	1	2	2.15517241379311	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824160000	https://www.forbes.com/sites/edwardconroy/2022/08/24/biden-administration-to-forgive-up-to-20000-in-student-loans/
1059998369	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								JUD	PUBLIC DEFENDER						JUD			1	020	020	02	1	3.0	2	1	2	-5.6	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20220824160000	https://www.thecentersquare.com/maine/maine-panel-seeks-more-funds-for-public-defenders/article_72dee3e8-23bb-11ed-b939-ab06706e4333.html
1059998370	20220725	202207	2022	2022.5616	GOVMIL	NATIONAL SECURITY COUNCIL						GOV	MIL		USAGOV	THE WHITE HOUSE	USA					GOV			0	040	040	04	1	1.0	1	1	1	-5.79470198675497	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824160000	https://news.yahoo.com/senators-call-blinken-classify-u-153244009.html
