1059994881	20210824	202108	2021	2021.6411	BEL	BELGIAN	BEL								FRA	FRENCH	FRA								1	1383	138	13	3	-7.0	10	1	10	-6.57748049052397	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824153000	https://www.ncr-iran.org/en/news/terrorism-a-fundamentalism/weak-western-policies-have-emboldened-iran-to-threaten-terrorism-military-strikes/
1059994882	20210824	202108	2021	2021.6411	BEL	BELGIAN	BEL								IRN	IRAN	IRN								1	040	040	04	1	1.0	10	1	10	-6.57748049052397	1	Belgium	BE	BE		50.833333	4	BE	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824153000	https://www.ncr-iran.org/en/news/terrorism-a-fundamentalism/weak-western-policies-have-emboldened-iran-to-threaten-terrorism-military-strikes/
1059994883	20210824	202108	2021	2021.6411	CVL	COMMUNITY						CVL													0	060	060	06	2	6.0	3	1	3	-3.29507589781562	3	Harris County, Texas, United States	US	USTX	TX201	29.8336	-95.4002	1383886	0								3	Harris County, Texas, United States	US	USTX		29.8336	-95.4002	1383886	20220824153000	https://www.texasstandard.org/stories/harris-county-home-buyouts-after-hurricane-harvey/
1059994884	20210824	202108	2021	2021.6411	CVL	COMMUNITY						CVL													0	060	060	06	2	6.0	1	1	1	-3.29507589781562	3	Harris County, Texas, United States	US	USTX	TX201	29.8336	-95.4002	1383886	0								1	Spain	SP	SP		40	-4	SP	20220824153000	https://www.texasstandard.org/stories/harris-county-home-buyouts-after-hurricane-harvey/
1059994885	20210824	202108	2021	2021.6411	CVL	COMMUNITY						CVL													0	060	060	06	2	6.0	1	1	1	-3.29507589781562	1	Spain	SP	SP		40	-4	SP	0								1	Spain	SP	SP		40	-4	SP	20220824153000	https://www.texasstandard.org/stories/harris-county-home-buyouts-after-hurricane-harvey/
1059994886	20210824	202108	2021	2021.6411	GOV	MINISTRY						GOV			EDU	COLLEGE						EDU			0	010	010	01	1	0.0	3	1	3	-1.8970189701897	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220824153000	https://missouriindependent.com/2022/08/24/missouris-new-voter-id-law-faces-lawsuit-claiming-its-unconstitutional/
1059994887	20210824	202108	2021	2021.6411	GOV	PRESIDENT						GOV			KHM	CAMBODIAN	KHM								0	010	010	01	1	0.0	5	1	5	-0.2770083102493	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20220824153000	https://www.phnompenhpost.com/national/second-round-garment-wage-talks-clear-professional
1059994888	20210824	202108	2021	2021.6411	IRN	IRAN	IRN								BEL	BELGIAN	BEL								1	040	040	04	1	1.0	10	1	10	-6.57748049052397	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Belgium	BE	BE		50.833333	4	BE	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824153000	https://www.ncr-iran.org/en/news/terrorism-a-fundamentalism/weak-western-policies-have-emboldened-iran-to-threaten-terrorism-military-strikes/
1059994889	20210824	202108	2021	2021.6411	KHM	CAMBODIA	KHM																		0	010	010	01	1	0.0	2	1	2	-0.2770083102493	1	Cambodia	CB	CB		13	105	CB	0								1	Cambodia	CB	CB		13	105	CB	20220824153000	https://www.phnompenhpost.com/national/second-round-garment-wage-talks-clear-professional
1059994890	20210824	202108	2021	2021.6411	MIL	MILITARY						MIL			GOV	JUNTA						GOV			1	190	190	19	4	-10.0	4	1	4	-4.86111111111111	4	Ndjamena, (CD04), Chad	CD	CD04	12482	12.1085	15.0482	-1101785	4	Ndjamena, (CD04), Chad	CD	CD04	12482	12.1085	15.0482	-1101785	4	Ndjamena, (CD04), Chad	CD	CD04	12482	12.1085	15.0482	-1101785	20220824153000	https://english.ahram.org.eg/NewsContentMulti/473397/Multimedia.aspx
