1059960473	20210824	202108	2021	2021.6411	IGOUNOGOV	THE UN		UNO				IGO	GOV		MMR	MYANMAR	MMR								1	050	050	05	1	3.5	10	1	10	1.55038759689922	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20220824111500	https://www.kualalumpurtimes.com/news/272664066/nepal-signs-agreement-with-uk-to-provide-foreign-workers
1059961231	20220824	202208	2022	2022.6411	SYR	SYRIA	SYR								SAUELI	FAYSAL	SAU					ELI			1	036	036	03	1	4.0	2	1	2	1.38248847926267	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	4	Sukhumi, Georgia (general), Georgia	GG	GG00	16453	43.002	41.0139	-2329946	20220824111500	https://www.ansamed.info/ansamed/en/news/sections/politics/2022/08/24/syria-ready-to-exchange-ambassadors-with-donbass-republics_7e040bc5-8ff4-4954-9899-8638e8e12720.html
1059961232	20220824	202208	2022	2022.6411	THA	THAILAND	THA								GOV	PRIME MINISTER						GOV			1	172	172	17	4	-5.0	10	1	10	-3.125	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20220824111500	https://ground.news/article/thai-court-suspends-pm-from-official-duty-pending-result-of-term-limit-review
1059961233	20220824	202208	2022	2022.6411	THAGOV	THAILAND	THA					GOV			BUS	INVESTOR						BUS			1	030	030	03	1	4.0	10	1	10	-1.25786163522012	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20220824111500	https://www.nationthailand.com/business/econ/40019319
1059961234	20220824	202208	2022	2022.6411	TUR	TURKEY	TUR																		1	020	020	02	1	3.0	2	1	2	3.31125827814569	1	Portugal	PO	PO		39.5	-8	PO	0								1	Portugal	PO	PO		39.5	-8	PO	20220824111500	https://www.90min.com/posts/frank-lampard-update-dele-alli-move-besiktas-everton
1059961235	20220824	202208	2022	2022.6411	TUR	TURKEY	TUR																		1	046	046	04	1	7.0	10	1	10	0	0								0								0								20220824111500	https://menafn.com/1104747480/Turkeys-Borsa-opens-Wednesdays-session-with-higher-figures
1059961236	20220824	202208	2022	2022.6411	TWN	TAIWAN	TWN								CHN	CHINA	CHN								0	043	043	04	1	2.8	2	1	2	-0.64935064935065	1	Taiwan	TW	TW		24	121	TW	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220824111500	https://english.kyodonews.net/news/2022/08/c367a381e7e2-china-s-korea-mark-30th-anniv-of-ties-amid-delicate-power-balance.html
1059961237	20220824	202208	2022	2022.6411	TWN	TAIWAN	TWN								CHN	CHINA	CHN								0	043	043	04	1	2.8	2	1	2	-0.64935064935065	1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220824111500	https://english.kyodonews.net/news/2022/08/c367a381e7e2-china-s-korea-mark-30th-anniv-of-ties-amid-delicate-power-balance.html
1059961238	20220824	202208	2022	2022.6411	TZA	TANZANIA	TZA								GOV	MINISTRY						GOV			1	046	046	04	1	7.0	4	1	4	4.41176470588235	1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	20220824111500	https://www.sis.gov.eg/Story/170867/Housing-min-follows-up-work-in-progress-of-
1059961239	20220824	202208	2022	2022.6411	UAF	GUNMAN						UAF													1	193	193	19	4	-10.0	10	1	10	-8.25688073394497	4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	0								4	Tarragona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25809	41.1167	1.25	-403902	20220824111500	https://www.theolivepress.es/spain-news/2022/08/24/outrage-in-spain-after-paralysed-gunslinger-accused-of-wounding-four-people-euthanised-in-prison-while-awaiting-trial/
1059961240	20220824	202208	2022	2022.6411	UAF	TERRORIST						UAF			MIL	MILITARY BASE						MIL			0	190	190	19	4	-10.0	5	1	5	-10.6030483764082	4	Middle Belt, Nigeria (general), Nigeria	NI	NI00	191192	8	8	-2019662	4	Middle Belt, Nigeria (general), Nigeria	NI	NI00	191192	8	8	-2019662	4	Middle Belt, Nigeria (general), Nigeria	NI	NI00	191192	8	8	-2019662	20220824111500	http://nigerianobservernews.com/2022/08/icc-and-terrorists-in-nigeria-since-2009/
1059961241	20220824	202208	2022	2022.6411	UAF	TERRORIST						UAF			NGA	NIGERIAN	NGA								1	190	190	19	4	-10.0	4	1	4	-10.6030483764082	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	20220824111500	http://nigerianobservernews.com/2022/08/icc-and-terrorists-in-nigeria-since-2009/
1059961242	20220824	202208	2022	2022.6411	UAF	MILITANT						UAF			NGAGOV	NIGERIAN	NGA					GOV			0	190	190	19	4	-10.0	6	1	6	-10.6030483764082	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	20220824111500	http://nigerianobservernews.com/2022/08/icc-and-terrorists-in-nigeria-since-2009/
1059961243	20220824	202208	2022	2022.6411	UAF	GUNMAN						UAF			USA	WASHINGTON	USA								1	190	190	19	4	-10.0	5	1	5	-7.25806451612903	3	Advocate Christ Medical Center, Illinois, United States	US	USIL	IL031	41.7222	-87.7323	426825	3	Advocate Christ Medical Center, Illinois, United States	US	USIL		41.7222	-87.7323	426825	3	Advocate Christ Medical Center, Illinois, United States	US	USIL		41.7222	-87.7323	426825	20220824111500	https://chicago.suntimes.com/crime/2022/8/24/23318982/1-killed-2-wounded-when-gunman-fires-at-their-cars-in-washington-heights
1059961244	20220824	202208	2022	2022.6411	UAF	GUNMAN						UAF			USA	WASHINGTON	USA								1	193	193	19	4	-10.0	7	1	7	-7.25806451612903	3	Washington Heights, Illinois, United States	US	USIL	IL031	41.7064	-87.6562	1802404	3	Washington Heights, Illinois, United States	US	USIL		41.7064	-87.6562	1802404	3	Washington Heights, Illinois, United States	US	USIL		41.7064	-87.6562	1802404	20220824111500	https://chicago.suntimes.com/crime/2022/8/24/23318982/1-killed-2-wounded-when-gunman-fires-at-their-cars-in-washington-heights
1059961245	20220824	202208	2022	2022.6411	UAF	GUNMAN						UAF			USA	WASHINGTON	USA								1	193	193	19	4	-10.0	3	1	3	-7.25806451612903	3	Advocate Christ Medical Center, Illinois, United States	US	USIL	IL031	41.7222	-87.7323	426825	3	Advocate Christ Medical Center, Illinois, United States	US	USIL		41.7222	-87.7323	426825	3	Advocate Christ Medical Center, Illinois, United States	US	USIL		41.7222	-87.7323	426825	20220824111500	https://chicago.suntimes.com/crime/2022/8/24/23318982/1-killed-2-wounded-when-gunman-fires-at-their-cars-in-washington-heights
1059961246	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR																		0	010	010	01	1	0.0	2	1	2	-3.28031809145129	4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	0								4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	20220824111500	https://www.al-monitor.com/originals/2022/08/despite-war-thousands-israeli-hasidim-make-pilgrimage-ukraine
1059961247	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR																		1	080	080	08	2	5.0	11	1	8	-3.28031809145129	4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	0								4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	20220824111500	https://www.al-monitor.com/originals/2022/08/despite-war-thousands-israeli-hasidim-make-pilgrimage-ukraine
1059961248	20220824	202208	2022	2022.6411	UKR	UKRAINIAN	UKR																		1	0841	084	08	2	7.0	10	1	10	2.99539170506913	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	0								4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	20220824111500	https://wnbf.com/luma-projection-arts-festival-binghamton-ny/
1059961249	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR																		0	120	120	12	3	-4.0	6	1	6	-3.28031809145129	4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	0								4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	20220824111500	https://www.al-monitor.com/originals/2022/08/despite-war-thousands-israeli-hasidim-make-pilgrimage-ukraine
1059961250	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								BLR	BELARUS	BLR								0	160	160	16	4	-4.0	5	1	5	-3.28031809145129	4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	1	Belarus	BO	BO		53	28	BO	4	Cherkasy, Cherkas'ka Oblast', Ukraine	UP	UP01	28554	49.4285	32.0621	-1037001	20220824111500	https://www.al-monitor.com/originals/2022/08/despite-war-thousands-israeli-hasidim-make-pilgrimage-ukraine
1059961251	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								GBR	BRITISH	GBR								0	051	051	05	1	3.4	1	1	1	-2.55972696245734	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	20220824111500	https://infotel.ca/newsitem/eu-russia-ukraine-war-independence-day/cp1067758832
1059961252	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								GBR	BRITISH	GBR								1	051	051	05	1	3.4	3	3	3	-4.29389956184698	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	20220824111500	https://apnews.com/article/russia-ukraine-boris-johnson-crimea-government-and-politics-88b84ca48ef131f2c629ce1fcbf67948
1059961253	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								GBR	BRITISH	GBR								1	051	051	05	1	3.4	3	3	3	-4.29389956184698	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824111500	https://apnews.com/article/russia-ukraine-boris-johnson-crimea-government-and-politics-88b84ca48ef131f2c629ce1fcbf67948
1059961254	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								GBR	BRITISH	GBR								0	051	051	05	1	3.4	1	1	1	-2.55972696245734	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220824111500	https://infotel.ca/newsitem/eu-russia-ukraine-war-independence-day/cp1067758832
1059961255	20220824	202208	2022	2022.6411	UKR	UKRAINE	UKR								GBRGOV	UNITED KINGDOM	GBR					GOV			0	051	051	05	1	3.4	1	1	1	-2.55972696245734	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	1	United Kingdom	UK	UK		54	-4	UK	4	Crimean Peninsula, Krym, Avtonomna Respublika, Ukraine	UP	UP11	28553	45	34	-1043950	20220824111500	https://infotel.ca/newsitem/eu-russia-ukraine-war-independence-day/cp1067758832
