1059936604	20210824	202108	2021	2021.6411											COP	POLICE						COP			0	190	190	19	4	-10.0	5	1	5	-5.12820512820513	0								4	Hawal, Jammu and Kashmir, India	IN	IN12	72809	33.55	75.9667	-2097372	4	Hawal, Jammu and Kashmir, India	IN	IN12	72809	33.55	75.9667	-2097372	20220824080000	https://www.latestly.com/agency-news/india-news-police-raid-residences-of-three-lawyers-in-jks-srinagar-4117863.html
1059936605	20210824	202108	2021	2021.6411	AUS	SYDNEY	AUS								AUSMED	AUSTRALIAN	AUS					MED			1	173	173	17	4	-5.0	6	1	6	-3.40314136125654	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20220824080000	https://accesswdun.com/article/2022/8/1126230
1059936606	20210824	202108	2021	2021.6411	COP	POLICE						COP			MIL	COMMANDER						MIL			0	190	190	19	4	-10.0	5	1	5	-5.12820512820513	4	Hawal, Jammu and Kashmir, India	IN	IN12	72809	33.55	75.9667	-2097372	4	Hawal, Jammu and Kashmir, India	IN	IN12	72809	33.55	75.9667	-2097372	4	Hawal, Jammu and Kashmir, India	IN	IN12	72809	33.55	75.9667	-2097372	20220824080000	https://www.latestly.com/agency-news/india-news-police-raid-residences-of-three-lawyers-in-jks-srinagar-4117863.html
1059936607	20210824	202108	2021	2021.6411	CUB	CUBAN	CUB								USA	THE US	USA								0	042	042	04	1	1.9	6	1	6	-1.6822429906542	1	Cuba	CU	CU		22	-79.5	CU	1	Mexico	MX	MX		23	-102	MX	1	Cuba	CU	CU		22	-79.5	CU	20220824080000	https://kvia.com/news/2022/08/23/cruise-ship-rescues-cuban-migrants-stranded-at-sea/
1059936608	20210824	202108	2021	2021.6411	CUB	CUBAN	CUB								USA	THE US	USA								0	042	042	04	1	1.9	2	1	2	-1.6822429906542	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220824080000	https://kvia.com/news/2022/08/23/cruise-ship-rescues-cuban-migrants-stranded-at-sea/
1059936609	20210824	202108	2021	2021.6411	USA	THE US	USA								CUB	CUBAN	CUB								0	043	043	04	1	2.8	6	1	6	-1.6822429906542	1	Mexico	MX	MX		23	-102	MX	1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20220824080000	https://kvia.com/news/2022/08/23/cruise-ship-rescues-cuban-migrants-stranded-at-sea/
1059936610	20210824	202108	2021	2021.6411	USA	THE US	USA								CUB	CUBAN	CUB								0	043	043	04	1	2.8	2	1	2	-1.6822429906542	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220824080000	https://kvia.com/news/2022/08/23/cruise-ship-rescues-cuban-migrants-stranded-at-sea/
1059936611	20220817	202208	2022	2022.6219											CVL	SETTLEMENT						CVL			1	042	042	04	1	1.9	10	1	10	-1.15606936416185	0								1	Belize	BH	BH		17.25	-88.75	BH	1	Belize	BH	BH		17.25	-88.75	BH	20220824080000	http://7newsbelize.com/sstory.php?nid=63185
1059936612	20220817	202208	2022	2022.6219											USA	UNITED STATES	USA								1	173	173	17	4	-5.0	1	1	1	-6.79611650485437	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	Allegheny County, Pennsylvania, United States	US	USPA		40.6253	-80.1251	1213657	20220824080000	https://www.corrections1.com/jail-management/articles/pa-county-jail-union-claims-warden-targeted-president-for-emails-social-media-posts-TXWlU5BuMQrOFCsb/
1059936613	20220817	202208	2022	2022.6219	COPLAB	PRISON						COP	LAB		USA	ORLANDO	USA								1	173	173	17	4	-5.0	2	1	2	-6.79611650485437	3	Allegheny County, Pennsylvania, United States	US	USPA	PA003	40.6253	-80.1251	1213657	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	Allegheny County, Pennsylvania, United States	US	USPA		40.6253	-80.1251	1213657	20220824080000	https://www.corrections1.com/jail-management/articles/pa-county-jail-union-claims-warden-targeted-president-for-emails-social-media-posts-TXWlU5BuMQrOFCsb/
1059936614	20220817	202208	2022	2022.6219	CVL	SETTLEMENT						CVL													1	043	043	04	1	2.8	10	1	10	-1.15606936416185	1	Belize	BH	BH		17.25	-88.75	BH	0								1	Belize	BH	BH		17.25	-88.75	BH	20220824080000	http://7newsbelize.com/sstory.php?nid=63185
