1059917826	20210824	202108	2021	2021.6411											GOV	CHANCELLOR						GOV			0	0841	084	08	2	7.0	6	1	6	7.32758620689659	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824044500	https://www.prokerala.com/news/articles/a1338300.html
1059917827	20210824	202108	2021	2021.6411											GOV	CHANCELLOR						GOV			0	0841	084	08	2	7.0	4	1	4	7.32758620689659	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	1	Cote D'ivoire	IV	IV		8	-5	IV	20220824044500	https://www.prokerala.com/news/articles/a1338300.html
1059917828	20210824	202108	2021	2021.6411	AUS	SYDNEY	AUS								USA	NEW YORK	USA								0	042	042	04	1	1.9	8	1	8	-5.20156046814044	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824044500	https://www.stuff.co.nz/world/australia/300669928/murdoch-heir-goes-into-battle-over-us-capitol-riots-criticism
1059917829	20210824	202108	2021	2021.6411	BUS	BUSINESS						BUS			POL	POLE	POL								1	192	192	19	4	-9.5	10	1	10	-1.1070110701107	0								0								0								20220824044500	https://www.presspubs.com/quad/news/former-business-owner-requests-city-reconsider-rezone/article_aa7ad9b8-2340-11ed-a071-77d8ba7cb3cb.html
1059917830	20210824	202108	2021	2021.6411	USA	LAWRENCE	USA																		1	071	071	07	2	7.4	10	1	10	0.3030303030303	3	Douglas County, Missouri, United States	US	USMO	MO067	36.9501	-92.4835	758488	0								3	Douglas County, Missouri, United States	US	USMO		36.9501	-92.4835	758488	20220824044500	https://lawrencekstimes.com/2022/08/23/lawrencecitycomm-humane-milllevy-waka/
1059917831	20210824	202108	2021	2021.6411	USA	NEW YORK	USA								AUS	SYDNEY	AUS								0	043	043	04	1	2.8	8	1	8	-5.20156046814044	2	New York, United States	US	USNY		42.1497	-74.9384	NY	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824044500	https://www.stuff.co.nz/world/australia/300669928/murdoch-heir-goes-into-battle-over-us-capitol-riots-criticism
1059917832	20220817	202208	2022	2022.6219	COP	POLICE						COP													1	010	010	01	1	0.0	10	1	10	-4.25531914893617	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	0								2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20220824044500	https://www.tonyskansascity.com/2022/08/blue-springs-police-blast-gunman.html
1059917833	20220817	202208	2022	2022.6219	COP	POLICE						COP													1	193	193	19	4	-10.0	10	1	10	-4.25531914893617	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	0								2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20220824044500	https://www.tonyskansascity.com/2022/08/blue-springs-police-blast-gunman.html
1059917834	20220817	202208	2022	2022.6219	GOVEDU	EDUCATION MINIST						GOV	EDU		EDU	STUDENT						EDU			1	023	023	02	1	3.4	10	1	10	-2.40641711229946	0								0								0								20220824044500	http://www.dundalkleader.com/2022/08/24/students-struggling-to-find-suitable-accomodation-locally/
1059917835	20220817	202208	2022	2022.6219	MED	MEDIA						MED			JUD	JUDGE						JUD			0	020	020	02	1	3.0	6	1	6	-1.6140350877193	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20220824044500	https://www.wsws.org/en/articles/2022/08/24/liaq-a24.html
1059917836	20220817	202208	2022	2022.6219	MED	MEDIA						MED			JUD	JUDGE						JUD			0	110	110	11	3	-2.0	6	1	6	-1.6140350877193	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20220824044500	https://www.wsws.org/en/articles/2022/08/24/liaq-a24.html
