1059977717	20210824	202108	2021	2021.6411	BUS	MANUFACTURER						BUS													1	030	030	03	1	4.0	5	1	5	-2.5	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220824133000	https://bestmediainfo.com/2022/08/delhi-hc-passes-interim-injunction-against-ramdev-industries-madhav-brand-for-using-logo-similar-to-lay-s-chips
1059977718	20210824	202108	2021	2021.6411	DEU	BERLIN	DEU								DEUGOV	GERMANY	DEU					GOV			1	043	043	04	1	2.8	7	1	7	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977719	20210824	202108	2021	2021.6411	DEU	BERLIN	DEU								DEUGOV	GERMANY	DEU					GOV			1	043	043	04	1	2.8	1	1	1	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977720	20210824	202108	2021	2021.6411	DEUGOV	GERMANY	DEU					GOV			DEU	BERLIN	DEU								1	042	042	04	1	1.9	7	1	7	1.14942528735633	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977721	20210824	202108	2021	2021.6411	DEUGOV	GERMANY	DEU					GOV			DEU	BERLIN	DEU								1	042	042	04	1	1.9	1	1	1	1.14942528735633	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977722	20210824	202108	2021	2021.6411	DEUGOV	GERMANY	DEU					GOV			MAR	MOROCCO	MAR								1	042	042	04	1	1.9	2	1	2	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977723	20210824	202108	2021	2021.6411	DEUGOV	GERMANY	DEU					GOV			MAR	RABAT	MAR								1	042	042	04	1	1.9	1	1	1	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977724	20210824	202108	2021	2021.6411	DEUGOV	GERMANY	DEU					GOV			MAR	RABAT	MAR								1	042	042	04	1	1.9	5	1	5	1.14942528735633	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Rabat, Rabat-Saléemmour-ZaëMO, Morocco	MO	MO49	21812	34.02	-6.83	-43376	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220824133000	https://english.alaraby.co.uk/news/germany-fm-visit-morocco-first-time-reconciliation
1059977725	20210824	202108	2021	2021.6411	GOV	MINIST						GOV			IND	NEW DELHI	IND								0	036	036	03	1	4.0	3	1	3	-0.79365079365079	1	Kyrgyzstan	KG	KG		41	75	KG	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824133000	https://www.tribuneindia.com/news/nation/india-wants-russia-ukraine-to-hold-talks-to-resolve-crisis-rajnath-singh-424918
1059977726	20210824	202108	2021	2021.6411	GOV	MINIST						GOV			UZB	UZBEKISTAN	UZB								0	036	036	03	1	4.0	1	1	1	-0.79365079365079	1	Kyrgyzstan	KG	KG		41	75	KG	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824133000	https://www.tribuneindia.com/news/nation/india-wants-russia-ukraine-to-hold-talks-to-resolve-crisis-rajnath-singh-424918
1059977727	20210824	202108	2021	2021.6411	GOV	MINIST						GOV			UZB	UZBEKISTAN	UZB								0	036	036	03	1	4.0	1	1	1	-0.79365079365079	1	Kyrgyzstan	KG	KG		41	75	KG	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Kyrgyzstan	KG	KG		41	75	KG	20220824133000	https://www.tribuneindia.com/news/nation/india-wants-russia-ukraine-to-hold-talks-to-resolve-crisis-rajnath-singh-424918
1059977728	20210824	202108	2021	2021.6411	HLH	HOSPITAL						HLH													1	071	071	07	2	7.4	10	1	10	-1.36518771331058	4	Haapsalu, Läemaa, Estonia	EN	EN07	16004	58.9431	23.5414	-2621697	0								4	Haapsalu, Läemaa, Estonia	EN	EN07	16004	58.9431	23.5414	-2621697	20220824133000	https://news.err.ee/1608694216/hospitals-put-off-eu-funded-covid-isolation-wards-construction-to-next-year
1059977729	20210824	202108	2021	2021.6411	ISR	ISRAEL	ISR								CVL	COMMUNITY						CVL			0	113	113	11	3	-2.0	5	1	5	-9.6875	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	4	Neot Hakikar, HaDarom, Israel	IS	IS01	18315	30.95	35.3667	-780844	20220824133000	https://www.timesofisrael.com/israeli-forces-foil-effort-to-smuggle-in-firearms-from-jordan-near-dead-sea/
