1060007132	20220725	202207	2022	2022.5616											ESP	SPAIN	ESP								1	043	043	04	1	2.8	8	1	8	9.50226244343892	0								4	Costa Brava, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25807	41.75	3.06667	-374112	4	Costa Brava, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25807	41.75	3.06667	-374112	20220824170000	https://www.liverpoolecho.co.uk/news/uk-world-news/jet2-offering-free-spain-holidays-24842748
1060007133	20220725	202207	2022	2022.5616											PTY	PRESIDENTIAL CANDIDATE									1	043	043	04	1	2.8	10	1	10	-0.88691796008869	0								5	Rivers State, Rivers, Nigeria	NI	NI50	23058	4.75	6.83333	-2025387	5	Rivers State, Rivers, Nigeria	NI	NI50	23058	4.75	6.83333	-2025387	20220824170000	https://pmnewsnigeria.com/2022/08/24/2023-lamido-bombs-wike-as-pdp-crisis-gets-messier/
1060007134	20220725	202207	2022	2022.5616											USA	UNITED STATES	USA								1	036	036	03	1	4.0	8	1	8	1.58730158730158	0								3	Adobe Park, California, United States	US	USCA		37.6608	-121.912	1723551	3	Adobe Park, California, United States	US	USCA		37.6608	-121.912	1723551	20220824170000	https://www.dailyrepublic.com/all-dr-news/solano-news/vacaville/buffalo-soldiers-back-at-pena-adobe-in-september/
1060007135	20220725	202207	2022	2022.5616	EDU	SCHOOL						EDU													1	110	110	11	3	-2.0	14	2	14	-3.89824188657741	5	South Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.5833	-3.83333	6077678	0								5	South Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.5833	-3.83333	6077678	20220824170000	https://www.burnhamandhighbridgeweeklynews.co.uk/news/national/20738337.edinburgh-rubbish-deeply-concerning-says-swinney-council-strikes-escalate/
1060007136	20220725	202207	2022	2022.5616	GBR	GLASGOW	GBR								EDU	SCHOOL						EDU			1	110	110	11	3	-2.0	6	2	6	-3.89824188657742	5	South Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.5833	-3.83333	6077678	5	South Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.5833	-3.83333	6077678	5	South Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	40176	55.5833	-3.83333	6077678	20220824170000	https://www.burnhamandhighbridgeweeklynews.co.uk/news/national/20738337.edinburgh-rubbish-deeply-concerning-says-swinney-council-strikes-escalate/
1060007137	20220725	202207	2022	2022.5616	HLH	HOSPITAL						HLH			MCOELI	ALBERT	MCO					ELI			1	173	173	17	4	-5.0	5	1	5	-5.88235294117647	0								0								0								20220824170000	https://www.thetelegraphandargus.co.uk/news/20741771.charlie-booth-appears-court-accused-murdering-lauren-howe-baildon/
1060007138	20220725	202207	2022	2022.5616	HLH	HOSPITAL						HLH			MCOELI	ALBERT	MCO					ELI			1	190	190	19	4	-10.0	5	1	5	-5.88235294117647	0								0								0								20220824170000	https://www.thetelegraphandargus.co.uk/news/20741771.charlie-booth-appears-court-accused-murdering-lauren-howe-baildon/
1060007139	20220725	202207	2022	2022.5616	PTY	PRESIDENTIAL CANDIDATE																			1	042	042	04	1	1.9	10	1	10	-0.88691796008869	5	Rivers State, Rivers, Nigeria	NI	NI50	23058	4.75	6.83333	-2025387	0								5	Rivers State, Rivers, Nigeria	NI	NI50	23058	4.75	6.83333	-2025387	20220824170000	https://pmnewsnigeria.com/2022/08/24/2023-lamido-bombs-wike-as-pdp-crisis-gets-messier/
1060007140	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA																		1	036	036	03	1	4.0	8	1	8	1.58730158730158	3	Vacaville, California, United States	US	USCA	CA095	38.3566	-121.988	277624	0								3	Vacaville, California, United States	US	USCA	CA095	38.3566	-121.988	277624	20220824170000	https://www.dailyrepublic.com/all-dr-news/solano-news/vacaville/buffalo-soldiers-back-at-pena-adobe-in-september/
1060007141	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA																		0	111	111	11	3	-2.0	1	1	1	-0.1325381047051	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20220824170000	https://jewishinsider.com/2022/08/dan-goldman-new-york-tenth-district-democratic-primary-win/
