1059908630	20220725	202207	2022	2022.5616											CHN	SHANGHAI	CHN								1	050	050	05	1	3.5	5	1	5	-6.2015503875969	0								4	Tang Yong, Guangdong, China	CH	CH30	13057	22.066	110.378	10301432	4	Tang Yong, Guangdong, China	CH	CH30	13057	22.066	110.378	10301432	20220824030000	https://www.thestandard.com.hk/section-news/section/2/244893/Shimao-seeks-debt-restructure
1059908631	20220725	202207	2022	2022.5616	CHN	SHANGHAI	CHN																		1	050	050	05	1	3.5	5	1	5	-6.2015503875969	4	Tang Yong, Guangdong, China	CH	CH30	13057	22.066	110.378	10301432	0								4	Tang Yong, Guangdong, China	CH	CH30	13057	22.066	110.378	10301432	20220824030000	https://www.thestandard.com.hk/section-news/section/2/244893/Shimao-seeks-debt-restructure
1059908632	20220817	202208	2022	2022.6219	CHN	BEIJING	CHN																		1	070	070	07	2	7.0	1	1	1	-1.6	1	East Timor	TT	TT		-8.833333	125.75	TT	0								1	East Timor	TT	TT		-8.833333	125.75	TT	20220824030000	https://www.watoday.com.au/world/asia/wong-heads-to-dili-as-east-timor-plays-china-card-on-offshore-gas-20220824-p5bca5.html
1059908633	20220817	202208	2022	2022.6219	GOV	AMBASSADOR						GOV			USA	AMERICAN	USA								1	043	043	04	1	2.8	8	1	8	1.07719928186714	1	India	IN	IN		20	77	IN	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	India	IN	IN		20	77	IN	20220824030000	https://timesofindia.indiatimes.com/world/us/record-over-130-indian-americans-at-key-positions-in-us-president-joe-biden-administration/articleshow/93741817.cms
1059908634	20220817	202208	2022	2022.6219	GOV	AMBASSADOR						GOV			USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	1.07719928186714	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220824030000	https://timesofindia.indiatimes.com/world/us/record-over-130-indian-americans-at-key-positions-in-us-president-joe-biden-administration/articleshow/93741817.cms
1059908635	20220817	202208	2022	2022.6219	USA	AMERICAN	USA								GOV	AMBASSADOR						GOV			1	042	042	04	1	1.9	8	1	8	1.07719928186714	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220824030000	https://timesofindia.indiatimes.com/world/us/record-over-130-indian-americans-at-key-positions-in-us-president-joe-biden-administration/articleshow/93741817.cms
1059908636	20220817	202208	2022	2022.6219	USA	UNITED STATES	USA								GOV	AMBASSADOR						GOV			1	042	042	04	1	1.9	2	1	2	1.07719928186714	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220824030000	https://timesofindia.indiatimes.com/world/us/record-over-130-indian-americans-at-key-positions-in-us-president-joe-biden-administration/articleshow/93741817.cms
1059908637	20220823	202208	2022	2022.6384											GOVDEV	PUBLIC SERVICE COMMISSION						GOV	DEV		1	042	042	04	1	1.9	8	1	8	0.670241286863273	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20220824030000	https://www.wisbusiness.com/2022/state-could-see-over-1-billion-in-broadband-help-from-federal-infrastructure-law/
1059908638	20220823	202208	2022	2022.6384	GOVDEV	PUBLIC SERVICE COMMISSION						GOV	DEV												1	043	043	04	1	2.8	8	1	8	0.670241286863273	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	0								2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20220824030000	https://www.wisbusiness.com/2022/state-could-see-over-1-billion-in-broadband-help-from-federal-infrastructure-law/
1059908639	20220823	202208	2022	2022.6384	GOVDEV	PUBLIC SERVICE COMMISSION						GOV	DEV		USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	0.670241286863273	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20220824030000	https://www.wisbusiness.com/2022/state-could-see-over-1-billion-in-broadband-help-from-federal-infrastructure-law/
