1060019538	20210824	202108	2021	2021.6411											USA	UNITED STATES	USA								1	110	110	11	3	-2.0	1	1	1	0	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20220824183000	https://www.nbcconnecticut.com/news/business/money-report/bill-gates-dr-fauci-is-a-hero-to-millions-of-people-including-me/2858627/
1060019539	20210824	202108	2021	2021.6411	BUS	MANUFACTURER						BUS			LBN	TYRE	LBN								1	051	051	05	1	3.4	2	1	2	4.62328767123287	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	20220824183000	https://www.rheaheraldnews.com/news/article_ac0bed64-23c5-11ed-a509-afaff839d96c.html
1060019540	20210824	202108	2021	2021.6411	ETH	ETHIOPIA	ETH								GOV	PRESIDENT						GOV			0	043	043	04	1	2.8	2	1	2	-4.67587672688629	1	Rwanda	RW	RW		-2	30	RW	4	Amhara, Amara, Ethiopia	ET	ET46	149281	11.1667	39.1667	-603950	1	Rwanda	RW	RW		-2	30	RW	20220824183000	https://www.aol.com/news/large-scale-fighting-shatters-lull-173652196.html
1060019541	20210824	202108	2021	2021.6411	GOV	PRESIDENT						GOV			ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	2	1	2	-4.67587672688629	4	Amhara, Amara, Ethiopia	ET	ET46	149281	11.1667	39.1667	-603950	1	Rwanda	RW	RW		-2	30	RW	1	Rwanda	RW	RW		-2	30	RW	20220824183000	https://www.aol.com/news/large-scale-fighting-shatters-lull-173652196.html
1060019542	20210824	202108	2021	2021.6411	LEG	SENATE						LEG			PTY	DEMOCRATIC PARTY									0	160	160	16	4	-4.0	10	1	10	2.89389067524116	3	Oregon City, Oregon, United States	US	USOR	OR005	45.3573	-122.607	1136601	3	Oregon City, Oregon, United States	US	USOR		45.3573	-122.607	1136601	3	Oregon City, Oregon, United States	US	USOR		45.3573	-122.607	1136601	20220824183000	https://www.wallowa.com/news/state/november-ballot-deadline-less-than-a-week-away/article_34ddce9f-3080-5f0d-8054-fd6fd5331159.html
1060019543	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								LBN	TYRE	LBN								1	051	051	05	1	3.4	6	1	6	4.62328767123287	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	20220824183000	https://www.rheaheraldnews.com/news/article_ac0bed64-23c5-11ed-a509-afaff839d96c.html
1060019544	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA								LBN	TYRE	LBN								1	051	051	05	1	3.4	2	1	2	4.62328767123287	3	Rhea County, Tennessee, United States	US	USTN	TN143	35.6334	-84.9333	1639784	3	Rhea County, Tennessee, United States	US	USTN		35.6334	-84.9333	1639784	3	Rhea County, Tennessee, United States	US	USTN		35.6334	-84.9333	1639784	20220824183000	https://www.rheaheraldnews.com/news/article_ac0bed64-23c5-11ed-a509-afaff839d96c.html
1060019545	20220725	202207	2022	2022.5616	CAN	CANADIAN	CAN																		1	114	114	11	3	-2.0	2	1	2	-1.91637630662021	4	Edmonton, Alberta, Canada	CA	CA01	154724	53.55	-113.5	-564064	0								4	Edmonton, Alberta, Canada	CA	CA01	154724	53.55	-113.5	-564064	20220824183000	https://dailyhive.com/vancouver/canadian-tiktoker-calls-out-american-viral
1060019546	20220725	202207	2022	2022.5616	CAN	CANADIAN	CAN																		1	114	114	11	3	-2.0	8	1	8	-1.91637630662021	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220824183000	https://dailyhive.com/vancouver/canadian-tiktoker-calls-out-american-viral
1060019547	20220725	202207	2022	2022.5616	USAMIL	THE US	USA					MIL			HLHMIL	HOSPITAL						HLH	MIL		1	060	060	06	2	6.0	10	1	10	3.68663594470046	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	20220824183000	https://dominicantoday.com/dr/world/2022/08/24/a-us-hospital-ship-will-visit-the-dpminican-republic-haiti-and-guatemala/
1060019548	20220725	202207	2022	2022.5616	USAMIL	THE US	USA					MIL			HND	TEGUCIGALPA	HND								1	010	010	01	1	0.0	5	1	5	3.68663594470046	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	1	Haiti	HA	HA		19	-72.416667	HA	20220824183000	https://dominicantoday.com/dr/world/2022/08/24/a-us-hospital-ship-will-visit-the-dpminican-republic-haiti-and-guatemala/
1060019549	20220817	202208	2022	2022.6219											USALEG	UNITED STATES	USA					LEG			0	043	043	04	1	2.8	1	1	1	-1.34228187919463	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220824183000	https://www.cityweekly.net/utah/here-come-the-body-police/Content?oid=18798004
