1059929291	20210824	202108	2021	2021.6411											GOV	CHANCELLOR						GOV			0	0841	084	08	2	7.0	2	1	2	6.92041522491345	0								1	Germany	GM	GM		51.5	10.5	GM	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20220824064500	https://www.ibtimes.co.in/angela-merkel-wins-2022-unesco-peace-prize-efforts-welcome-refugees-851616
1059929292	20210824	202108	2021	2021.6411	BUS	INDUSTRY						BUS			EDU	SCHOOL						EDU			1	0231	023	02	1	3.4	7	1	7	1.85185185185185	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	20220824064500	https://www.fijitimes.com/fashion-global-language/
1059929293	20210824	202108	2021	2021.6411	BUS	INDUSTRY						BUS			EDU	SCHOOL						EDU			1	051	051	05	1	3.4	7	1	7	1.85185185185185	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	20220824064500	https://www.fijitimes.com/fashion-global-language/
1059929294	20210824	202108	2021	2021.6411	BUS	INDUSTRY						BUS			USA	HAWAII	USA								1	0231	023	02	1	3.4	7	1	7	1.85185185185185	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	20220824064500	https://www.fijitimes.com/fashion-global-language/
1059929295	20210824	202108	2021	2021.6411	BUS	INDUSTRY						BUS			USA	HAWAII	USA								1	051	051	05	1	3.4	7	1	7	1.85185185185185	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	4	Lautoka, Western, Fiji	FJ	FJ05	40204	-17.6167	177.467	-1188543	20220824064500	https://www.fijitimes.com/fashion-global-language/
1059929296	20210824	202108	2021	2021.6411	REL	BISHOP																			1	010	010	01	1	0.0	6	1	6	-2.96052631578947	3	Clarke County, Virginia, United States	US	USVA	VA043	39.1168	-77.9664	1690562	0								3	Clarke County, Virginia, United States	US	USVA		39.1168	-77.9664	1690562	20220824064500	https://www.winchesterstar.com/winchester_star/clarke-adopts-revised-return-to-school-plan/article_499e5662-0165-5b50-9b82-1b95dfa35a19.html
1059929297	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		1	010	010	01	1	0.0	2	1	2	-2.96052631578947	3	Clarke County, Virginia, United States	US	USVA	VA043	39.1168	-77.9664	1690562	0								3	Clarke County, Virginia, United States	US	USVA		39.1168	-77.9664	1690562	20220824064500	https://www.winchesterstar.com/winchester_star/clarke-adopts-revised-return-to-school-plan/article_499e5662-0165-5b50-9b82-1b95dfa35a19.html
1059929298	20210824	202108	2021	2021.6411	USAREL	UNITED STATES	USA																		1	010	010	01	1	0.0	2	1	2	-2.96052631578947	3	Clarke County, Virginia, United States	US	USVA	VA043	39.1168	-77.9664	1690562	0								3	Clarke County, Virginia, United States	US	USVA		39.1168	-77.9664	1690562	20220824064500	https://www.winchesterstar.com/winchester_star/clarke-adopts-revised-return-to-school-plan/article_499e5662-0165-5b50-9b82-1b95dfa35a19.html
1059929299	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA								USAELI	UNITED STATES	USA					ELI			1	010	010	01	1	0.0	1	1	1	-1.83028286189684	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20220824064500	http://www.hngn.com/articles/243991/20220823/jan-6-committee-interrogates-trumps-former-cabinet-members-national-security.htm
1059929300	20220725	202207	2022	2022.5616	USA	UNITED STATES	USA								USAELI	UNITED STATES	USA					ELI			1	010	010	01	1	0.0	1	1	1	-1.83028286189684	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20220824064500	http://www.hngn.com/articles/243991/20220823/jan-6-committee-interrogates-trumps-former-cabinet-members-national-security.htm
1059929301	20220817	202208	2022	2022.6219	GOV	AUTHORITIES						GOV			BUS	TANKER						BUS			0	173	173	17	4	-5.0	6	1	6	-6.33680555555556	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	1	Equatorial Guinea	EK	EK		2	10	EK	1	Equatorial Guinea	EK	EK		2	10	EK	20220824064500	https://www.vanguardngr.com/2022/08/is-abuja-doing-enough-to-stop-the-theft-of-nigerias-crude-oil/
1059929302	20220817	202208	2022	2022.6219	GOV	AUTHORITIES						GOV			BUS	TANKER						BUS			0	173	173	17	4	-5.0	2	1	2	-6.33680555555556	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	1	Equatorial Guinea	EK	EK		2	10	EK	1	Equatorial Guinea	EK	EK		2	10	EK	20220824064500	https://www.vanguardngr.com/2022/08/is-abuja-doing-enough-to-stop-the-theft-of-nigerias-crude-oil/
1059929303	20220817	202208	2022	2022.6219	GOV	AUTHORITIES						GOV			BUS	TANKER						BUS			0	173	173	17	4	-5.0	2	1	2	-6.33680555555556	1	Equatorial Guinea	EK	EK		2	10	EK	1	Equatorial Guinea	EK	EK		2	10	EK	1	Equatorial Guinea	EK	EK		2	10	EK	20220824064500	https://www.vanguardngr.com/2022/08/is-abuja-doing-enough-to-stop-the-theft-of-nigerias-crude-oil/
1059929304	20220817	202208	2022	2022.6219	MNCUSAMED	GOOGLE	USA					MNC	MED												1	010	010	01	1	0.0	5	1	5	0.69169960474308	1	Japan	JA	JA		36	138	JA	0								1	Japan	JA	JA		36	138	JA	20220824064500	https://www.gizchina.com/2022/08/24/google-robots-are-more-human-like-can-perform-complex-tasks/
1059929305	20220817	202208	2022	2022.6219	SAU	SAUDI	SAU								BUS	BUSINESS						BUS			1	071	071	07	2	7.4	10	1	10	2.63157894736842	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20220824064500	https://www.al-monitor.com/originals/2022/08/saudi-central-bank-approves-fintech-companies-lean-technologies-mod5r
