1060000993	20210824	202108	2021	2021.6411											GOV	PRIME MINISTER						GOV			0	042	042	04	1	1.9	3	1	3	-4.9645390070922	0								4	Pahang, Pahang, Malaysia	MY	MY06	18585	3.5321	103.462	-2402927	4	Pahang, Pahang, Malaysia	MY	MY06	18585	3.5321	103.462	-2402927	20220824161500	https://www.malaymail.com/news/malaysia/2022/08/24/najib-loyalists-call-for-royal-pardon-as-malaysias-ex-pm-begins-jail-term/24584
1060000994	20210824	202108	2021	2021.6411	BUS	BUSINESS						BUS													1	013	013	01	1	0.4	6	1	6	-1.61691542288557	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20220824161500	https://www.washtimesherald.com/indiana/news/first-coast-to-coast-trail-would-be-boon-for-indiana-pathways/article_308a8574-2389-11ed-a7c0-7718097b1e2d.html
1060000995	20210824	202108	2021	2021.6411	CHN	CHINA	CHN																		1	010	010	01	1	0.0	10	1	10	-4.47552447552447	4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	0								4	Sichuan, Gansu, China	CH	CH15	13024	35.1221	105.48	10650455	20220824161500	https://www.theepochtimes.com/power-cuts-continue-in-china-amid-record-breaking-heat-wave-drought_4684166.html
1060000996	20210824	202108	2021	2021.6411	GBR	UNITED KINGDOM	GBR								GOV	PRIME MINISTER						GOV			0	042	042	04	1	1.9	2	1	2	-4.9645390070922	4	Pahang, Pahang, Malaysia	MY	MY06	18585	3.5321	103.462	-2402927	4	Pahang, Pahang, Malaysia	MY	MY06	18585	3.5321	103.462	-2402927	4	Pahang, Pahang, Malaysia	MY	MY06	18585	3.5321	103.462	-2402927	20220824161500	https://www.malaymail.com/news/malaysia/2022/08/24/najib-loyalists-call-for-royal-pardon-as-malaysias-ex-pm-begins-jail-term/24584
1060000997	20210824	202108	2021	2021.6411	GOV	AMBASSADOR						GOV													1	161	161	16	4	-4.0	2	1	2	-0.97087378640776	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	0								4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20220824161500	https://www.thestar.com.my/news/world/2022/08/24/lebanon-investigates-recorded-death-threats-against-saudi-embassy
1060000998	20210824	202108	2021	2021.6411	MED	MEDIA						MED			LEG	SENATE						LEG			0	010	010	01	1	0.0	3	1	3	-4.58823529411765	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824161500	https://madison.com/opinion/column/chicago-tribune-merrick-garland-s-mission-mute-the-noise-focus-on-the-law/article_2ac88a51-1fe1-552c-af67-a5007db95aed.html
1060000999	20210824	202108	2021	2021.6411	UKR	UKRAINIAN	UKR								RUS	RUSSIA	RUS								0	0841	084	08	2	7.0	2	1	2	-0.15847860538827	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	4	Odessa, Odes'ka Oblast, Ukraine	UP	UP17	28558	46.4639	30.7386	-1049092	20220824161500	https://www.thenational.scot/news/20739295.ukrainian-independence-day-marked-demonstrations-edinburgh-aberdeen/
1060001000	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		1	013	013	01	1	0.4	2	1	2	-1.61691542288557	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20220824161500	https://www.washtimesherald.com/indiana/news/first-coast-to-coast-trail-would-be-boon-for-indiana-pathways/article_308a8574-2389-11ed-a7c0-7718097b1e2d.html
1060001001	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		1	013	013	01	1	0.4	2	1	2	-1.61691542288557	1	Germany	GM	GM		51.5	10.5	GM	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20220824161500	https://www.washtimesherald.com/indiana/news/first-coast-to-coast-trail-would-be-boon-for-indiana-pathways/article_308a8574-2389-11ed-a7c0-7718097b1e2d.html
1060001002	20210824	202108	2021	2021.6411	USA	UNITED STATES	USA																		0	071	071	07	2	7.4	4	1	4	2.48550124275062	3	University Of Utah, Utah, United States	US	USUT	UT035	40.7649	-111.849	1446845	0								3	University Of Utah, Utah, United States	US	USUT		40.7649	-111.849	1446845	20220824161500	https://cleantechnica.com/2022/08/24/enhanced-geothermal-technology-cracks-the-24-7-energy-code/
