1059907666	20210824	202108	2021	2021.6411	COP	POLICE						COP													1	173	173	17	4	-5.0	10	1	10	-8.73146622734761	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20220824024500	http://www.dailypress.com/news/crime/vp-nw-doyle-murder-trial-begins-20220823-q7dz4qjdlvemvnym5gcquwimfu-story.html
1059907667	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU													1	014	014	01	1	0.0	3	1	3	-1.43575017946877	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907668	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			CHRCTH	CATHOLIC				CHR	CTH				1	014	014	01	1	0.0	1	1	1	-1.43575017946877	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907669	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			CHRCTH	CATHOLIC				CHR	CTH				1	014	014	01	1	0.0	1	1	1	-1.43575017946877	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907670	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			CHRCTH	CATHOLIC				CHR	CTH				1	014	014	01	1	0.0	1	1	1	-1.43575017946877	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907671	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	014	014	01	1	0.0	1	1	1	-1.43575017946877	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907672	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	014	014	01	1	0.0	1	1	1	-1.43575017946877	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907673	20210824	202108	2021	2021.6411	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	014	014	01	1	0.0	2	1	2	-1.43575017946877	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824024500	https://www.mysanantonio.com/news/article/I-Don-t-Feel-Safe-Children-Fear-Going-Back-to-17391482.php
1059907674	20220725	202207	2022	2022.5616											GOV	ADMINISTRATION						GOV			1	040	040	04	1	1.0	6	1	6	-0.30441400304414	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20220824024500	https://www.bgdailynews.com/news/state/beshear-calls-special-session-to-take-up-flood-relief/article_c9f5e8bf-93b3-5142-9ed6-819e53ab2bed.html
1059907675	20220725	202207	2022	2022.5616											USAGOV	UNITED STATES	USA					GOV			1	040	040	04	1	1.0	2	1	2	-0.30441400304414	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20220824024500	https://www.bgdailynews.com/news/state/beshear-calls-special-session-to-take-up-flood-relief/article_c9f5e8bf-93b3-5142-9ed6-819e53ab2bed.html
